Title,Department,Location,Salary,Closing Date,UID,URL
"ID 210 - Highways Team Leader, Strategic Road Network",Welsh Government,Wales,"Salary : £53,440 to £63,900",Closes : 4:00 pm on Monday 13th November 2023,Reference : 319146,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JmpvYmxpc3Rfdmlld192YWM9MTg4MzE4MiZzZWFyY2hzb3J0PWNsb3NpbmcmdXNlcnNlYXJjaGNvbnRleHQ9NTc3MDM2MjMmc2VhcmNocGFnZT0xJnBhZ2VjbGFzcz1Kb2JzJm93bmVyPTUwNzAwMDAmcmVxc2lnPTE2OTk4ODI4MzctNTNmMGQyYmRlMTJmYmQ4ZWQyNjM3NjhiZWQ5ZDM3MjEzNWJmYjYzYg==
Capabilities & Resources Group - Finance – Transactions Supervisor ,Home Office,Croydon Apollo House - Manchester Soapworks - Sheffield Vulcan House,"Salary : £41,600 to £48,792",Closes : 11:50 pm on Monday 13th November 2023,Reference : 323632,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZzZWFyY2hwYWdlPTEmcGFnZWNsYXNzPUpvYnMmdXNlcnNlYXJjaGNvbnRleHQ9NTc3MDM2MjMmc2VhcmNoc29ydD1jbG9zaW5nJmpvYmxpc3Rfdmlld192YWM9MTg4NDkzOSZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE2OTk4ODI4MzctNTNmMGQyYmRlMTJmYmQ4ZWQyNjM3NjhiZWQ5ZDM3MjEzNWJmYjYzYg==
Senior Evidence Reviewer,UK Health Security Agency,Hybrid,"Salary : £38,724 to £48,068",Closes : 11:55 pm on Monday 13th November 2023,Reference : 325434,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0xJnBhZ2VjbGFzcz1Kb2JzJm93bmVyPTUwNzAwMDAmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JmpvYmxpc3Rfdmlld192YWM9MTg4NjAyNyZvd25lcnR5cGU9ZmFpciZ1c2Vyc2VhcmNoY29udGV4dD01NzcwMzYyMyZzZWFyY2hzb3J0PWNsb3NpbmcmcmVxc2lnPTE2OTk4ODI4MzctNTNmMGQyYmRlMTJmYmQ4ZWQyNjM3NjhiZWQ5ZDM3MjEzNWJmYjYzYg==
Senior Healthcare Scientist - Molecular Development  ,UK Health Security Agency,London,"Salary : £42,716",Closes : 11:55 pm on Monday 13th November 2023,Reference : 324757,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JmpvYmxpc3Rfdmlld192YWM9MTg4NTQ5NyZvd25lcnR5cGU9ZmFpciZ1c2Vyc2VhcmNoY29udGV4dD01NzcwMzYyMyZzZWFyY2hzb3J0PWNsb3Npbmcmc2VhcmNocGFnZT0xJnBhZ2VjbGFzcz1Kb2JzJm93bmVyPTUwNzAwMDAmcmVxc2lnPTE2OTk4ODI4MzctNTNmMGQyYmRlMTJmYmQ4ZWQyNjM3NjhiZWQ5ZDM3MjEzNWJmYjYzYg==
Cyber Security Risk Lead ,House of Commons,Westminster,"Salary : £41,340 to £47,975",Closes : 11:55 pm on Monday 13th November 2023,Reference : 323494,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImam9ibGlzdF92aWV3X3ZhYz0xODg1Mzg4JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZ1c2Vyc2VhcmNoY29udGV4dD01NzcwMzYyMyZzZWFyY2hzb3J0PWNsb3Npbmcmc2VhcmNocGFnZT0xJnBhZ2VjbGFzcz1Kb2JzJm93bmVyPTUwNzAwMDAmcmVxc2lnPTE2OTk4ODI4MzctNTNmMGQyYmRlMTJmYmQ4ZWQyNjM3NjhiZWQ5ZDM3MjEzNWJmYjYzYg==
Software Developer,Met Office,"Exeter, South West England, EX1 3PB","Salary : £32,100 to £34,925",Closes : 11:55 pm on Monday 13th November 2023,Reference : 324629,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZzZWFyY2hwYWdlPTEmcGFnZWNsYXNzPUpvYnMmdXNlcnNlYXJjaGNvbnRleHQ9NTc3MDM2MjMmc2VhcmNoc29ydD1jbG9zaW5nJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZqb2JsaXN0X3ZpZXdfdmFjPTE4ODUzMzEmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE2OTk4ODI4MzctNTNmMGQyYmRlMTJmYmQ4ZWQyNjM3NjhiZWQ5ZDM3MjEzNWJmYjYzYg==
Management Accountant (+ £7k MPS if CCAB/Equivalent Qualified),Department of Health and Social Care,"Leeds, London","Salary : £40,025 to £46,918",Closes : 11:55 pm on Monday 13th November 2023,Reference : 320732,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZzZWFyY2hwYWdlPTEmcGFnZWNsYXNzPUpvYnMmc2VhcmNoc29ydD1jbG9zaW5nJnVzZXJzZWFyY2hjb250ZXh0PTU3NzAzNjIzJm93bmVydHlwZT1mYWlyJmpvYmxpc3Rfdmlld192YWM9MTg4NTAxOCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcmVxc2lnPTE2OTk4ODI4MzctNTNmMGQyYmRlMTJmYmQ4ZWQyNjM3NjhiZWQ5ZDM3MjEzNWJmYjYzYg==
DIO – Ministry of Defence Guard Service – Security Officer Dog Handler – Shift worker,Ministry of Defence,"DM Kineton, Marlborough Barracks, Temple Herdewyke, Southam, CV47 2UL; Lower Arncott, Bicester, OXON, OX25 1NZ","Salary : £30,000",Closes : 11:55 pm on Monday 13th November 2023,Reference : 323572,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImam9ibGlzdF92aWV3X3ZhYz0xODg0OTE4JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZ1c2Vyc2VhcmNoY29udGV4dD01NzcwMzYyMyZzZWFyY2hzb3J0PWNsb3NpbmcmcGFnZWNsYXNzPUpvYnMmc2VhcmNocGFnZT0xJm93bmVyPTUwNzAwMDAmcmVxc2lnPTE2OTk4ODI4MzctNTNmMGQyYmRlMTJmYmQ4ZWQyNjM3NjhiZWQ5ZDM3MjEzNWJmYjYzYg==
DIO – Ministry of Defence Guard Service – Security Officer Supervisor Day Working,Ministry of Defence,"BRNC Dartmouth, Devon, TQ6 0HJ","Salary : £27,474",Closes : 11:55 pm on Monday 13th November 2023,Reference : 322953,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JmpvYmxpc3Rfdmlld192YWM9MTg4NDkwMiZvd25lcnR5cGU9ZmFpciZ1c2Vyc2VhcmNoY29udGV4dD01NzcwMzYyMyZzZWFyY2hzb3J0PWNsb3Npbmcmc2VhcmNocGFnZT0xJnBhZ2VjbGFzcz1Kb2JzJm93bmVyPTUwNzAwMDAmcmVxc2lnPTE2OTk4ODI4MzctNTNmMGQyYmRlMTJmYmQ4ZWQyNjM3NjhiZWQ5ZDM3MjEzNWJmYjYzYg==
Test Manager,HM Land Registry,"Croydon, London (region), CR0 2AQ : Plymouth, South West England, PL6 5WS","Salary : £46,496",Closes : 11:55 pm on Monday 13th November 2023,Reference : 322792,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JmpvYmxpc3Rfdmlld192YWM9MTg4NDg5NyZzZWFyY2hzb3J0PWNsb3NpbmcmdXNlcnNlYXJjaGNvbnRleHQ9NTc3MDM2MjMmc2VhcmNocGFnZT0xJnBhZ2VjbGFzcz1Kb2JzJm93bmVyPTUwNzAwMDAmcmVxc2lnPTE2OTk4ODI4MzctNTNmMGQyYmRlMTJmYmQ4ZWQyNjM3NjhiZWQ5ZDM3MjEzNWJmYjYzYg==
