Title,Department,Location,Salary,Closing Date,UID,URL
Light Rail Security Senior Policy Adviser,Department for Transport,"Birmingham, Leeds, London","Salary : £40,808",Closes : 11:55 pm on Sunday 31st December 2023,Reference : 330288,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnBhZ2VjbGFzcz1Kb2JzJnNlYXJjaHBhZ2U9MSZzZWFyY2hzb3J0PWNsb3NpbmcmdXNlcnNlYXJjaGNvbnRleHQ9NjI3MjEyNzkmam9ibGlzdF92aWV3X3ZhYz0xODkxNDcwJm93bmVyPTUwNzAwMDAmcmVxc2lnPTE3MDM5NDQyNzUtYWUzMmU1OWExMGZlMjhmMmNmZjc5YTE2ZjVkZjJjZGQ5NGE1NTM4NA==
Campaign Manager - THINK!,Department for Transport,"Birmingham, Leeds, London","Salary : £32,603",Closes : 11:55 pm on Sunday 31st December 2023,Reference : 329134,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnBhZ2VjbGFzcz1Kb2JzJnNlYXJjaHBhZ2U9MSZzZWFyY2hzb3J0PWNsb3NpbmcmdXNlcnNlYXJjaGNvbnRleHQ9NjI3MjEyNzkmam9ibGlzdF92aWV3X3ZhYz0xODkxMzA3Jm93bmVyPTUwNzAwMDAmcmVxc2lnPTE3MDM5NDQyNzUtYWUzMmU1OWExMGZlMjhmMmNmZjc5YTE2ZjVkZjJjZGQ5NGE1NTM4NA==
Senior Research Policy Officer – Workforce and Training,Department of Health and Social Care,London & Leeds,"Salary : £40,025 to £46,918",Closes : 11:55 pm on Sunday 31st December 2023,Reference : 328150,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmc2VhcmNocGFnZT0xJnNlYXJjaHNvcnQ9Y2xvc2luZyZ1c2Vyc2VhcmNoY29udGV4dD02MjcyMTI3OSZqb2JsaXN0X3ZpZXdfdmFjPTE4OTEyOTUmb3duZXI9NTA3MDAwMCZvd25lcnR5cGU9ZmFpciZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcmVxc2lnPTE3MDM5NDQyNzUtYWUzMmU1OWExMGZlMjhmMmNmZjc5YTE2ZjVkZjJjZGQ5NGE1NTM4NA==
"Deputy Director-Communications - £75,000 p.a. + benefits",Medicines and Healthcare Products Regulatory Agency,"Canary Wharf London, E14 4PU with occasional traveling to South Mimms, Hertfordshire","Salary : £75,000",Closes : 11:55 pm on Sunday 31st December 2023,Reference : 331623,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODkxMjAxJm93bmVyPTUwNzAwMDAmcGFnZWNsYXNzPUpvYnMmc2VhcmNocGFnZT0xJnVzZXJzZWFyY2hjb250ZXh0PTYyNzIxMjc5JnNlYXJjaHNvcnQ9Y2xvc2luZyZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDM5NDQyNzUtYWUzMmU1OWExMGZlMjhmMmNmZjc5YTE2ZjVkZjJjZGQ5NGE1NTM4NA==
DDaT - Lead Service Transition Manager,Home Office,"Croydon - Lunar House, Manchester - Soapworks - This role is suitable for a combination of office and home-based working.  This is a non-contractual arrangement where all employees will be expected ... see the job advert for full location information","Salary : £57,000 to £67,100",Closes : 11:55 pm on Sunday 31st December 2023,Reference : 330676,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0Jm93bmVydHlwZT1mYWlyJmpvYmxpc3Rfdmlld192YWM9MTg5MTA4MiZvd25lcj01MDcwMDAwJnNlYXJjaHBhZ2U9MSZwYWdlY2xhc3M9Sm9icyZzZWFyY2hzb3J0PWNsb3NpbmcmdXNlcnNlYXJjaGNvbnRleHQ9NjI3MjEyNzkmcmVxc2lnPTE3MDM5NDQyNzUtYWUzMmU1OWExMGZlMjhmMmNmZjc5YTE2ZjVkZjJjZGQ5NGE1NTM4NA==
Head of Delivery Unit,"Department for Levelling Up, Housing and Communities","Birmingham, Darlington, Leeds, Wolverhampton","Salary : £61,599",Closes : 11:55 pm on Sunday 31st December 2023,Reference : 330984,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNoc29ydD1jbG9zaW5nJnVzZXJzZWFyY2hjb250ZXh0PTYyNzIxMjc5JnNlYXJjaHBhZ2U9MSZwYWdlY2xhc3M9Sm9icyZvd25lcj01MDcwMDAwJmpvYmxpc3Rfdmlld192YWM9MTg5MTA2OCZvd25lcnR5cGU9ZmFpciZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcmVxc2lnPTE3MDM5NDQyNzUtYWUzMmU1OWExMGZlMjhmMmNmZjc5YTE2ZjVkZjJjZGQ5NGE1NTM4NA==
Head of Strategy Unit,"Department for Levelling Up, Housing and Communities","Birmingham, Darlington, Leeds, London, Wolverhampton","Salary : £61,599",Closes : 11:55 pm on Sunday 31st December 2023,Reference : 330983,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=dXNlcnNlYXJjaGNvbnRleHQ9NjI3MjEyNzkmc2VhcmNoc29ydD1jbG9zaW5nJnNlYXJjaHBhZ2U9MSZwYWdlY2xhc3M9Sm9icyZvd25lcj01MDcwMDAwJmpvYmxpc3Rfdmlld192YWM9MTg5MTA2NyZvd25lcnR5cGU9ZmFpciZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcmVxc2lnPTE3MDM5NDQyNzUtYWUzMmU1OWExMGZlMjhmMmNmZjc5YTE2ZjVkZjJjZGQ5NGE1NTM4NA==
Head of DDaT PMO (Programme Management Office),Government Property Agency,"Birmingham, Leeds, Manchester, Nottingham","Salary : £51,700 to £62,500",Closes : 11:55 pm on Sunday 31st December 2023,Reference : 330924,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODkwOTg3Jm93bmVyPTUwNzAwMDAmc2VhcmNocGFnZT0xJnBhZ2VjbGFzcz1Kb2JzJnNlYXJjaHNvcnQ9Y2xvc2luZyZ1c2Vyc2VhcmNoY29udGV4dD02MjcyMTI3OSZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDM5NDQyNzUtYWUzMmU1OWExMGZlMjhmMmNmZjc5YTE2ZjVkZjJjZGQ5NGE1NTM4NA==
Enforcement Quality Manager,Driver and Vehicle Standards Agency,"Bristol, Newcastle-upon-Tyne, Nottingham, Swansea","Salary : £40,808",Closes : 11:55 pm on Sunday 31st December 2023,Reference : 330690,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0xJnBhZ2VjbGFzcz1Kb2JzJnNlYXJjaHNvcnQ9Y2xvc2luZyZ1c2Vyc2VhcmNoY29udGV4dD02MjcyMTI3OSZqb2JsaXN0X3ZpZXdfdmFjPTE4OTA4ODcmb3duZXI9NTA3MDAwMCZvd25lcnR5cGU9ZmFpciZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcmVxc2lnPTE3MDM5NDQyNzUtYWUzMmU1OWExMGZlMjhmMmNmZjc5YTE2ZjVkZjJjZGQ5NGE1NTM4NA==
"Director of Finance, Business Planning and Governance ",Valuation Office Agency,"National - Main Finance Hubs are located in London, Leeds and Manchester, although it may be possible to accommodate other locations where the VOA have offices. Relocation costs are not available. The role ... see the job advert for full location information","Salary : £75,000 to £117,800",Closes : 11:55 pm on Sunday 31st December 2023,Reference : 329912,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=dXNlcnNlYXJjaGNvbnRleHQ9NjI3MjEyNzkmc2VhcmNoc29ydD1jbG9zaW5nJnNlYXJjaHBhZ2U9MSZwYWdlY2xhc3M9Sm9icyZvd25lcj01MDcwMDAwJmpvYmxpc3Rfdmlld192YWM9MTg5MDg0MyZvd25lcnR5cGU9ZmFpciZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcmVxc2lnPTE3MDM5NDQyNzUtYWUzMmU1OWExMGZlMjhmMmNmZjc5YTE2ZjVkZjJjZGQ5NGE1NTM4NA==
Purchasing Business Partner,Cabinet Office,Glasgow,"Salary : £27,750 to £29,000",Closes : 11:55 pm on Sunday 31st December 2023,Reference : 330922,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnVzZXJzZWFyY2hjb250ZXh0PTYyNzIxMjc5JnNlYXJjaHNvcnQ9Y2xvc2luZyZwYWdlY2xhc3M9Sm9icyZzZWFyY2hwYWdlPTEmb3duZXI9NTA3MDAwMCZqb2JsaXN0X3ZpZXdfdmFjPTE4OTA3MTEmcmVxc2lnPTE3MDM5NDQyNzUtYWUzMmU1OWExMGZlMjhmMmNmZjc5YTE2ZjVkZjJjZGQ5NGE1NTM4NA==
Supplier Relationship Manager,Homes England,"Birmingham, West Midlands (England), B1 2AX : Coventry, West Midlands (England), CV1 2GN","Salary : £54,000 to £60,000",Closes : 11:55 pm on Sunday 31st December 2023,Reference : 330911,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnBhZ2VjbGFzcz1Kb2JzJnNlYXJjaHBhZ2U9MSZzZWFyY2hzb3J0PWNsb3NpbmcmdXNlcnNlYXJjaGNvbnRleHQ9NjI3MjEyNzkmam9ibGlzdF92aWV3X3ZhYz0xODkwNjE0Jm93bmVyPTUwNzAwMDAmcmVxc2lnPTE3MDM5NDQyNzUtYWUzMmU1OWExMGZlMjhmMmNmZjc5YTE2ZjVkZjJjZGQ5NGE1NTM4NA==
Casework Admin Manager - TVAL2356,Crown Prosecution Service,These posts can be based at either Reading or St Albans.,"Salary : £30,130 to £32,090",Closes : 11:55 pm on Sunday 31st December 2023,Reference : 329784,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0xJnBhZ2VjbGFzcz1Kb2JzJnNlYXJjaHNvcnQ9Y2xvc2luZyZ1c2Vyc2VhcmNoY29udGV4dD02MjcyMTI3OSZqb2JsaXN0X3ZpZXdfdmFjPTE4OTA1NDYmb3duZXI9NTA3MDAwMCZvd25lcnR5cGU9ZmFpciZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcmVxc2lnPTE3MDM5NDQyNzUtYWUzMmU1OWExMGZlMjhmMmNmZjc5YTE2ZjVkZjJjZGQ5NGE1NTM4NA==
Business Support Assistant - CSERB-DRB (Child Sexual Exploitation Referrals Bureau - Designated Reporting Body),National Crime Agency,Warrington,"Salary : £22,950",Closes : 11:55 pm on Sunday 31st December 2023,Reference : 326505,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnNlYXJjaHNvcnQ9Y2xvc2luZyZ1c2Vyc2VhcmNoY29udGV4dD02MjcyMTI3OSZzZWFyY2hwYWdlPTEmcGFnZWNsYXNzPUpvYnMmb3duZXI9NTA3MDAwMCZqb2JsaXN0X3ZpZXdfdmFjPTE4OTA0NjkmcmVxc2lnPTE3MDM5NDQyNzUtYWUzMmU1OWExMGZlMjhmMmNmZjc5YTE2ZjVkZjJjZGQ5NGE1NTM4NA==
Scientific Lead - Aerobiology,UK Health Security Agency,UKHSA Porton Down,"Salary : £65,302 to £75,129",Closes : 11:55 pm on Sunday 31st December 2023,Reference : 330667,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZqb2JsaXN0X3ZpZXdfdmFjPTE4OTAzOTAmdXNlcnNlYXJjaGNvbnRleHQ9NjI3MjEyNzkmc2VhcmNoc29ydD1jbG9zaW5nJnBhZ2VjbGFzcz1Kb2JzJnNlYXJjaHBhZ2U9MSZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDM5NDQyNzUtYWUzMmU1OWExMGZlMjhmMmNmZjc5YTE2ZjVkZjJjZGQ5NGE1NTM4NA==
Senior Intelligence Officer Child Sexual Exploitation Referral Bureau – Designated Reporting Body (CSERB DRB),National Crime Agency,Warrington,"Salary : £38,642",Closes : 11:55 pm on Sunday 31st December 2023,Reference : 326445,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=dXNlcnNlYXJjaGNvbnRleHQ9NjI3MjEyNzkmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JmpvYmxpc3Rfdmlld192YWM9MTg5MDEyOSZzZWFyY2hwYWdlPTImcGFnZWNsYXNzPUpvYnMmc2VhcmNoc29ydD1jbG9zaW5nJm93bmVydHlwZT1mYWlyJm93bmVyPTUwNzAwMDAmcmVxc2lnPTE3MDM5NDQyNzYtNzRhNmQzZjEwOTVmM2JjN2FkZTkxMGQzNmM4OTk4YzJjOGI4ZjUxMw==
Senior service designer,Department for Education,"Bristol, South West England, BS2 0EL : Coventry, West Midlands (England), CV1 2WT : Darlington, North East England, DL1 5QE : Manchester, North West England, M1 2WD : Sheffield, Yorkshire and the Humber, ... see the job advert for full location information","Salary : £53,669",Closes : 11:55 pm on Sunday 31st December 2023,Reference : 325450,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImb3duZXI9NTA3MDAwMCZzZWFyY2hzb3J0PWNsb3NpbmcmcGFnZWNsYXNzPUpvYnMmam9ibGlzdF92aWV3X3ZhYz0xODkwMDM2JnNlYXJjaHBhZ2U9MiZ1c2Vyc2VhcmNoY29udGV4dD02MjcyMTI3OSZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcmVxc2lnPTE3MDM5NDQyNzYtNzRhNmQzZjEwOTVmM2JjN2FkZTkxMGQzNmM4OTk4YzJjOGI4ZjUxMw==
NAVY - HMS EAGLET/HMS SHERWOOD ADMINISTRATIVE OFFICER (AO),Ministry of Defence,"HMS SHERWOOD, Foresters House, Swiney Way, Chilwell, Nottingham, NG9 6GX","Salary : £24,040",Closes : 11:55 pm on Sunday 31st December 2023,Reference : 318476,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZvd25lcnR5cGU9ZmFpciZzZWFyY2hzb3J0PWNsb3NpbmcmcGFnZWNsYXNzPUpvYnMmc2VhcmNocGFnZT0yJmpvYmxpc3Rfdmlld192YWM9MTg4OTYzNCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmdXNlcnNlYXJjaGNvbnRleHQ9NjI3MjEyNzkmcmVxc2lnPTE3MDM5NDQyNzYtNzRhNmQzZjEwOTVmM2JjN2FkZTkxMGQzNmM4OTk4YzJjOGI4ZjUxMw==
Defence Business Services (DBS) Automation Garage Senior Delivery Manager,Ministry of Defence,"Norcross - Tomlinson House Blackpool Lancashire, Bristol - Abbey Wood North","Salary : £43,080",Closes : 11:55 pm on Sunday 31st December 2023,Reference : 329199,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=dXNlcnNlYXJjaGNvbnRleHQ9NjI3MjEyNzkmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnNlYXJjaHBhZ2U9MiZqb2JsaXN0X3ZpZXdfdmFjPTE4ODk0MzQmcGFnZWNsYXNzPUpvYnMmc2VhcmNoc29ydD1jbG9zaW5nJm93bmVyPTUwNzAwMDAmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDM5NDQyNzYtNzRhNmQzZjEwOTVmM2JjN2FkZTkxMGQzNmM4OTk4YzJjOGI4ZjUxMw==
Business Support Officer,Defence Science and Technology Laboratory,"Dst Porton Down, Salisbury, SP4 0JQ - Dstl Portsdown West, Fareham, PO17 6AD","Salary : £27,620 to £32,163",Closes : 11:55 pm on Sunday 31st December 2023,Reference : 328702,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmc2VhcmNoc29ydD1jbG9zaW5nJm93bmVyPTUwNzAwMDAmb3duZXJ0eXBlPWZhaXImcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnVzZXJzZWFyY2hjb250ZXh0PTYyNzIxMjc5JnNlYXJjaHBhZ2U9MiZqb2JsaXN0X3ZpZXdfdmFjPTE4ODkzMzcmcmVxc2lnPTE3MDM5NDQyNzYtNzRhNmQzZjEwOTVmM2JjN2FkZTkxMGQzNmM4OTk4YzJjOGI4ZjUxMw==
RESEARCH OUTPUTS MANAGER,UK Health Security Agency,Location: London/ National/ Flexible,"Salary : £30,473 to £41,478",Closes : 11:55 pm on Sunday 31st December 2023,Reference : 329146,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZvd25lcnR5cGU9ZmFpciZzZWFyY2hzb3J0PWNsb3NpbmcmcGFnZWNsYXNzPUpvYnMmc2VhcmNocGFnZT0yJmpvYmxpc3Rfdmlld192YWM9MTg4OTIwOSZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmdXNlcnNlYXJjaGNvbnRleHQ9NjI3MjEyNzkmcmVxc2lnPTE3MDM5NDQyNzYtNzRhNmQzZjEwOTVmM2JjN2FkZTkxMGQzNmM4OTk4YzJjOGI4ZjUxMw==
Delivery Support Assistant,Defence Science and Technology Laboratory,"Dstl Porton Down, Salisbury, Wiltshire","Salary : £22,754 to £25,850",Closes : 11:55 pm on Sunday 31st December 2023,Reference : 328205,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0yJmpvYmxpc3Rfdmlld192YWM9MTg4OTE0NyZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmdXNlcnNlYXJjaGNvbnRleHQ9NjI3MjEyNzkmb3duZXI9NTA3MDAwMCZvd25lcnR5cGU9ZmFpciZwYWdlY2xhc3M9Sm9icyZzZWFyY2hzb3J0PWNsb3NpbmcmcmVxc2lnPTE3MDM5NDQyNzYtNzRhNmQzZjEwOTVmM2JjN2FkZTkxMGQzNmM4OTk4YzJjOGI4ZjUxMw==
Defence Business Services - (DBS) - CIO-AG Senior Developer,Ministry of Defence,"Abbey Wood North, Stoke Gifford, Bristol, South West BS34 8QW - Tomlinson House, Norcross,Blackpool , FY5 3WP","Salary : £43,080 to £54,480",Closes : 11:55 pm on Sunday 31st December 2023,Reference : 328431,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=dXNlcnNlYXJjaGNvbnRleHQ9NjI3MjEyNzkmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnNlYXJjaHBhZ2U9MiZqb2JsaXN0X3ZpZXdfdmFjPTE4ODkxMzImcGFnZWNsYXNzPUpvYnMmc2VhcmNoc29ydD1jbG9zaW5nJm93bmVyPTUwNzAwMDAmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDM5NDQyNzYtNzRhNmQzZjEwOTVmM2JjN2FkZTkxMGQzNmM4OTk4YzJjOGI4ZjUxMw==
