Title,Department,Location,Salary,Closing Date,UID,URL
No10 Head of Technical Communications,Cabinet Office,London,"Salary : £58,800 to £64,000",Closes : 11:55 pm on Saturday 30th December 2023,Reference : 331694,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0Jm93bmVydHlwZT1mYWlyJmpvYmxpc3Rfdmlld192YWM9MTg5MTQ2NyZvd25lcj01MDcwMDAwJnNlYXJjaHBhZ2U9MSZwYWdlY2xhc3M9Sm9icyZ1c2Vyc2VhcmNoY29udGV4dD02MjcyMTI3OSZzZWFyY2hzb3J0PWNsb3NpbmcmcmVxc2lnPTE3MDM5NDQyNzUtYWUzMmU1OWExMGZlMjhmMmNmZjc5YTE2ZjVkZjJjZGQ5NGE1NTM4NA==
"Executive Assistant to the Early Years, Children and Families Director",Department of Health and Social Care,London,"Salary : £30,923 to £32,267",Closes : 11:55 pm on Saturday 30th December 2023,Reference : 330993,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnNlYXJjaHBhZ2U9MSZwYWdlY2xhc3M9Sm9icyZ1c2Vyc2VhcmNoY29udGV4dD02MjcyMTI3OSZzZWFyY2hzb3J0PWNsb3Npbmcmam9ibGlzdF92aWV3X3ZhYz0xODkxMTQ5Jm93bmVyPTUwNzAwMDAmcmVxc2lnPTE3MDM5NDQyNzUtYWUzMmU1OWExMGZlMjhmMmNmZjc5YTE2ZjVkZjJjZGQ5NGE1NTM4NA==
Band 3 Fire Safety Specialist Inspector,Office for Nuclear Regulation,"Bootle, Cheltenham, London","Salary : £55,019 to £64,239",Closes : 9:20 am on Sunday 31st December 2023,Reference : 316881,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnBhZ2VjbGFzcz1Kb2JzJnNlYXJjaHBhZ2U9MSZzZWFyY2hzb3J0PWNsb3NpbmcmdXNlcnNlYXJjaGNvbnRleHQ9NjI3MjEyNzkmam9ibGlzdF92aWV3X3ZhYz0xODc4ODEwJm93bmVyPTUwNzAwMDAmcmVxc2lnPTE3MDM5NDQyNzUtYWUzMmU1OWExMGZlMjhmMmNmZjc5YTE2ZjVkZjJjZGQ5NGE1NTM4NA==
Band 3 Construction Site H&S Specialist - Nuclear Site H&S Inspector,Office for Nuclear Regulation,"Bootle, Cheltenham, London","Salary : £55,019 to £64,239",Closes : 10:00 am on Sunday 31st December 2023,Reference : 313805,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0Jm93bmVydHlwZT1mYWlyJm93bmVyPTUwNzAwMDAmam9ibGlzdF92aWV3X3ZhYz0xODc2NDA4JnNlYXJjaHNvcnQ9Y2xvc2luZyZ1c2Vyc2VhcmNoY29udGV4dD02MjcyMTI3OSZzZWFyY2hwYWdlPTEmcGFnZWNsYXNzPUpvYnMmcmVxc2lnPTE3MDM5NDQyNzUtYWUzMmU1OWExMGZlMjhmMmNmZjc5YTE2ZjVkZjJjZGQ5NGE1NTM4NA==
Band 3 Nuclear Safety Inspector - Fault Studies,Office for Nuclear Regulation,"Bootle, Cheltenham, London","Salary : £77,942 to £93,606",Closes : 2:35 pm on Sunday 31st December 2023,Reference : 313938,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZqb2JsaXN0X3ZpZXdfdmFjPTE4NzY1MDImdXNlcnNlYXJjaGNvbnRleHQ9NjI3MjEyNzkmc2VhcmNoc29ydD1jbG9zaW5nJnBhZ2VjbGFzcz1Kb2JzJnNlYXJjaHBhZ2U9MSZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDM5NDQyNzUtYWUzMmU1OWExMGZlMjhmMmNmZjc5YTE2ZjVkZjJjZGQ5NGE1NTM4NA==
Customer Management Officer (UKSV),Cabinet Office,This role will be based in either York or Glasgow. UKSV operates a hybrid working policy. There is flexibility to split your working week but with a minimum requirement of 60% in the listed Cabinet Office ... see the job advert for full location information,"Salary : £35,400 to £39,200",Closes : 11:50 pm on Sunday 31st December 2023,Reference : 331234,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0Jm93bmVydHlwZT1mYWlyJmpvYmxpc3Rfdmlld192YWM9MTg5MTAxNiZvd25lcj01MDcwMDAwJnNlYXJjaHBhZ2U9MSZwYWdlY2xhc3M9Sm9icyZ1c2Vyc2VhcmNoY29udGV4dD02MjcyMTI3OSZzZWFyY2hzb3J0PWNsb3NpbmcmcmVxc2lnPTE3MDM5NDQyNzUtYWUzMmU1OWExMGZlMjhmMmNmZjc5YTE2ZjVkZjJjZGQ5NGE1NTM4NA==
Head of Security Engineering and Design,Student Loans Company,"Darlington, Glasgow, Llandudno","Salary : £60,400 to £91,500",Closes : 11:55 pm on Sunday 31st December 2023,Reference : 332342,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0Jm93bmVydHlwZT1mYWlyJmpvYmxpc3Rfdmlld192YWM9MTg5MjE4NCZvd25lcj01MDcwMDAwJnNlYXJjaHBhZ2U9MSZwYWdlY2xhc3M9Sm9icyZzZWFyY2hzb3J0PWNsb3NpbmcmdXNlcnNlYXJjaGNvbnRleHQ9NjI3MjEyNzkmcmVxc2lnPTE3MDM5NDQyNzUtYWUzMmU1OWExMGZlMjhmMmNmZjc5YTE2ZjVkZjJjZGQ5NGE1NTM4NA==
"Senior Policy Adviser - State-Level Market Access, United States",Department for Business and Trade,"Belfast, Birmingham, Cardiff, Darlington, Edinburgh, London, Salford","Salary : £39,384 to £46,715",Closes : 11:55 pm on Sunday 31st December 2023,Reference : 331126,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0Jm93bmVydHlwZT1mYWlyJmpvYmxpc3Rfdmlld192YWM9MTg5MTc1MSZvd25lcj01MDcwMDAwJnBhZ2VjbGFzcz1Kb2JzJnNlYXJjaHBhZ2U9MSZ1c2Vyc2VhcmNoY29udGV4dD02MjcyMTI3OSZzZWFyY2hzb3J0PWNsb3NpbmcmcmVxc2lnPTE3MDM5NDQyNzUtYWUzMmU1OWExMGZlMjhmMmNmZjc5YTE2ZjVkZjJjZGQ5NGE1NTM4NA==
Lead Technical Architect,Home Office,"Liverpool, Manchester, Sheffield, Southport","Salary : £57,000 to £62,700",Closes : 11:55 pm on Sunday 31st December 2023,Reference : 330202,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODkxNzQzJm93bmVyPTUwNzAwMDAmc2VhcmNocGFnZT0xJnBhZ2VjbGFzcz1Kb2JzJnNlYXJjaHNvcnQ9Y2xvc2luZyZ1c2Vyc2VhcmNoY29udGV4dD02MjcyMTI3OSZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDM5NDQyNzUtYWUzMmU1OWExMGZlMjhmMmNmZjc5YTE2ZjVkZjJjZGQ5NGE1NTM4NA==
Workplace Design Manager,Government Property Agency,"Birmingham, Leeds, Manchester, Newport (Gwent), Norwich, Nottingham, Swindon","Salary : £51,700 to £57,700",Closes : 11:55 pm on Sunday 31st December 2023,Reference : 331199,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZqb2JsaXN0X3ZpZXdfdmFjPTE4OTE1NzEmc2VhcmNoc29ydD1jbG9zaW5nJnVzZXJzZWFyY2hjb250ZXh0PTYyNzIxMjc5JnNlYXJjaHBhZ2U9MSZwYWdlY2xhc3M9Sm9icyZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDM5NDQyNzUtYWUzMmU1OWExMGZlMjhmMmNmZjc5YTE2ZjVkZjJjZGQ5NGE1NTM4NA==
