Title,Department,Location,Salary,Closing Date,UID,URL
ID 389 - Legislation Manager – Extended Producer Responsibility,Welsh Government,Wales,"Salary : £34,083 to £41,675",Closes : 4:00 pm on Friday 1st December 2023,Reference : 327246,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImcGFnZWNsYXNzPUpvYnMmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnNlYXJjaHBhZ2U9MSZqb2JsaXN0X3ZpZXdfdmFjPTE4ODc1OTUmdXNlcnNlYXJjaGNvbnRleHQ9NjAwNjQ1OTAmc2VhcmNoc29ydD1jbG9zaW5nJm93bmVyPTUwNzAwMDAmcmVxc2lnPTE3MDE0NDU3OTYtYjc1NmIyZmE5MzY1ODc3MzIyOTgyNTMxNTZlZTNkNzAyYjhlNzVjNw==
ID 391 - Head of Extended Producer Responsibility,Welsh Government,Wales,"Salary : £56,112 to £67,095",Closes : 4:00 pm on Friday 1st December 2023,Reference : 327241,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNoc29ydD1jbG9zaW5nJm93bmVyPTUwNzAwMDAmcGFnZWNsYXNzPUpvYnMmb3duZXJ0eXBlPWZhaXImc2VhcmNocGFnZT0xJmpvYmxpc3Rfdmlld192YWM9MTg4NzU5NCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmdXNlcnNlYXJjaGNvbnRleHQ9NjAwNjQ1OTAmcmVxc2lnPTE3MDE0NDU3OTYtYjc1NmIyZmE5MzY1ODc3MzIyOTgyNTMxNTZlZTNkNzAyYjhlNzVjNw==
NCSC Cyber Consultant,GCHQ,"Cheltenham, London, Manchester","Salary : £39,166",Closes : 5:00 pm on Friday 1st December 2023,Reference : 325636,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZzZWFyY2hzb3J0PWNsb3NpbmcmdXNlcnNlYXJjaGNvbnRleHQ9NjAwNjQ1OTAmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JmpvYmxpc3Rfdmlld192YWM9MTg4NjMzNSZzZWFyY2hwYWdlPTEmb3duZXJ0eXBlPWZhaXImcGFnZWNsYXNzPUpvYnMmcmVxc2lnPTE3MDE0NDU3OTYtYjc1NmIyZmE5MzY1ODc3MzIyOTgyNTMxNTZlZTNkNzAyYjhlNzVjNw==
International Access to Benefits Team Leader ,Department for Work and Pensions,"Quarry House, Leeds, LS2 7UA, Kings Court, Sheffield, S3 7UF, Caxton House, London, SW1H 9NA","Salary : £52,412 to £68,918",Closes : 11:55 pm on Friday 1st December 2023,Reference : 326892,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmb3duZXJ0eXBlPWZhaXImdXNlcnNlYXJjaGNvbnRleHQ9NjAwNjQ1OTAmam9ibGlzdF92aWV3X3ZhYz0xODg4MTQwJnNlYXJjaHBhZ2U9MSZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmc2VhcmNoc29ydD1jbG9zaW5nJm93bmVyPTUwNzAwMDAmcmVxc2lnPTE3MDE0NDU3OTYtYjc1NmIyZmE5MzY1ODc3MzIyOTgyNTMxNTZlZTNkNzAyYjhlNzVjNw==
Security Support Manager (Assurance),UK Health Security Agency,"Located at one of UKHSA sites (Chilton, Colindale, Porton Down, London) or the option of hybrid homeworking is possible.","Salary : £38,724 to £48,068",Closes : 11:55 pm on Friday 1st December 2023,Reference : 327700,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImcGFnZWNsYXNzPUpvYnMmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnNlYXJjaHBhZ2U9MSZqb2JsaXN0X3ZpZXdfdmFjPTE4ODgwNDgmdXNlcnNlYXJjaGNvbnRleHQ9NjAwNjQ1OTAmc2VhcmNoc29ydD1jbG9zaW5nJm93bmVyPTUwNzAwMDAmcmVxc2lnPTE3MDE0NDU3OTYtYjc1NmIyZmE5MzY1ODc3MzIyOTgyNTMxNTZlZTNkNzAyYjhlNzVjNw==
Service Manager,Department for Energy Security & Net Zero,"Aberdeen, Birmingham, Cardiff, Darlington, Edinburgh, London, Salford","Salary : £31,120 to £37,260",Closes : 11:55 pm on Friday 1st December 2023,Reference : 326444,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JmpvYmxpc3Rfdmlld192YWM9MTg4NzcwNSZzZWFyY2hwYWdlPTEmdXNlcnNlYXJjaGNvbnRleHQ9NjAwNjQ1OTAmb3duZXJ0eXBlPWZhaXImcGFnZWNsYXNzPUpvYnMmb3duZXI9NTA3MDAwMCZzZWFyY2hzb3J0PWNsb3NpbmcmcmVxc2lnPTE3MDE0NDU3OTYtYjc1NmIyZmE5MzY1ODc3MzIyOTgyNTMxNTZlZTNkNzAyYjhlNzVjNw==
Commercial Data Analyst,Department for Transport,"Birmingham, Hastings, Leeds","Salary : £32,603",Closes : 11:55 pm on Friday 1st December 2023,Reference : 326006,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmb3duZXJ0eXBlPWZhaXImam9ibGlzdF92aWV3X3ZhYz0xODg3Njk3JnNlYXJjaHBhZ2U9MSZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmdXNlcnNlYXJjaGNvbnRleHQ9NjAwNjQ1OTAmc2VhcmNoc29ydD1jbG9zaW5nJm93bmVyPTUwNzAwMDAmcmVxc2lnPTE3MDE0NDU3OTYtYjc1NmIyZmE5MzY1ODc3MzIyOTgyNTMxNTZlZTNkNzAyYjhlNzVjNw==
Lead IT Service Manager ,Department for Work and Pensions,"This role may be located in one of the following locations; Blackpool, Birmingham, Leeds, Manchester, Newcastle or Sheffield. Please find further information on the Corporate hub locations here.","Salary : £69,869 to £77,740",Closes : 11:55 pm on Friday 1st December 2023,Reference : 323534,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnNlYXJjaHBhZ2U9MSZqb2JsaXN0X3ZpZXdfdmFjPTE4ODc2NzkmdXNlcnNlYXJjaGNvbnRleHQ9NjAwNjQ1OTAmb3duZXJ0eXBlPWZhaXImcGFnZWNsYXNzPUpvYnMmb3duZXI9NTA3MDAwMCZzZWFyY2hzb3J0PWNsb3NpbmcmcmVxc2lnPTE3MDE0NDU3OTYtYjc1NmIyZmE5MzY1ODc3MzIyOTgyNTMxNTZlZTNkNzAyYjhlNzVjNw==
Technical Officer,Scottish Forestry,Scotland,"Salary : £38,533 to £41,498",Closes : 11:55 pm on Friday 1st December 2023,Reference : 327353,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImcGFnZWNsYXNzPUpvYnMmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JmpvYmxpc3Rfdmlld192YWM9MTg4NzY2OCZzZWFyY2hwYWdlPTEmdXNlcnNlYXJjaGNvbnRleHQ9NjAwNjQ1OTAmc2VhcmNoc29ydD1jbG9zaW5nJm93bmVyPTUwNzAwMDAmcmVxc2lnPTE3MDE0NDU3OTYtYjc1NmIyZmE5MzY1ODc3MzIyOTgyNTMxNTZlZTNkNzAyYjhlNzVjNw==
Head of Financial Operations,UK Health Security Agency,Remote working (anywhere in the UK),"Salary : £65,302 to £78,805",Closes : 11:55 pm on Friday 1st December 2023,Reference : 327310,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZzZWFyY2hzb3J0PWNsb3NpbmcmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JmpvYmxpc3Rfdmlld192YWM9MTg4NzY0OSZzZWFyY2hwYWdlPTEmdXNlcnNlYXJjaGNvbnRleHQ9NjAwNjQ1OTAmb3duZXJ0eXBlPWZhaXImcGFnZWNsYXNzPUpvYnMmcmVxc2lnPTE3MDE0NDU3OTYtYjc1NmIyZmE5MzY1ODc3MzIyOTgyNTMxNTZlZTNkNzAyYjhlNzVjNw==
