Title,Department,Location,Salary,Closing Date,UID,URL,Full Ad Text,scraped_date
Acoustician MOD-AIR,Ministry of Defence,"Lower Stondon, East of England, SG16 6DN","28,300",2024-01-12,295902,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZwYWdlY2xhc3M9Sm9icyZzZWFyY2hwYWdlPTQ4JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZqb2JsaXN0X3ZpZXdfdmFjPTE4NzEyMjUmc2VhcmNoc29ydD1jbG9zaW5nJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0Jm93bmVydHlwZT1mYWlyJnJlcXNpZz0xNzA0MjI5NjU5LTg4M2M4NDYyYTkwYWRkNjhkNmVkNmI2NTY1MDU2Y2FhODcxZGQ0Nzg=,,
Defence AI Centre - Product Manager,Ministry of Defence,This role allows hybrid working but the post holder will have to regularly attend meetings on various sites. DAIC don't have a formal centre but have workspace in Portsmouth (DSTL Portsdown West); Salisbury ... see the job advert for full location information,"43,080",2024-01-14,298124,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODkyMTgxJm93bmVyPTUwNzAwMDAmcGFnZWNsYXNzPUpvYnMmc2VhcmNocGFnZT01MSZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmc2VhcmNoc29ydD1jbG9zaW5nJm93bmVydHlwZT1mYWlyJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnJlcXNpZz0xNzA0MjI5NjcxLTA0MzhhNjczZTEyYjYwYjkxMDhmYjAyNWJmZTlhMDc1ZGQxYjZjNDE=,,
Experienced Investigator,National Crime Agency,"Warrington, *London, Normanton, Bristol, Bedford, Bridgend, Crawley, Kingston Upon Thames, Dover, Birmingham, Slough, Exeter, Stevenage, Sunderland, Nottingham, Gartcosh, Gillingham (Kent), Belfast, Leicester, ... see the job advert for full location information","34,672",2024-02-05,300103,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODcxODU1JnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0Jm93bmVydHlwZT1mYWlyJm93bmVyPTUwNzAwMDAmc2VhcmNocGFnZT04MCZwYWdlY2xhc3M9Sm9icyZzZWFyY2hzb3J0PWNsb3NpbmcmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnJlcXNpZz0xNzA0MjI5NzgzLWEyZWM3YWI3Zjg0MGU0OWM3NGRiNjY5Y2I3YmM4OWIxMzMxNDk4YzM=,,
Band 7 Senior Community Mental Health Practitioner,Ministry of Defence,"RAF Brize Norton,Carterton, Oxford, OX18 3LX","43,742",2024-01-08,302565,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmb3duZXJ0eXBlPWZhaXImc2VhcmNoc29ydD1jbG9zaW5nJnNlYXJjaHBhZ2U9Mzcmam9ibGlzdF92aWV3X3ZhYz0xODY4NDI1JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcj01MDcwMDAwJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnJlcXNpZz0xNzA0MjI5NjE4LTRhZDI0MjI3YTRmOGY0MTBiNTBhMWQzNzc3NThlYTlhMzI1Nzc2NTc=,,
Professional Development Product Coordinator x 2,College of Policing,"This post can be based at our sites in either Ryton-on-Dunsmore (CV8 3EN), Durham (DL15 8DS), or Harrogate (HG3 1UF). This role is also available as a designated homeworking role.","25,599",2024-01-09,303306,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZzZWFyY2hwYWdlPTM5JnBhZ2VjbGFzcz1Kb2JzJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZzZWFyY2hzb3J0PWNsb3Npbmcmam9ibGlzdF92aWV3X3ZhYz0xODY3NTczJm93bmVydHlwZT1mYWlyJnJlcXNpZz0xNzA0MjI5NjI1LWU4NmVkOTdlZmI1Yjc2N2QyMGU5Zjc3ZjI0NTJlMmU4OTI2Y2ZlNjI=,,
SOC (Serious and Organised Crime) Performance & Analysis - Senior Officer,National Crime Agency,"London*, Warrington, Bristol, Birmingham, Crawley, Belfast, Gartcosh, Sunderland, **Chorley, Normanton, Leicester, Ipswich, Stevenage, Bridgend, Exeter, Tamworth, Winchester, Slough or Kingston Upon Thames. ... see the job advert for full location information","38,642",2024-01-21,304469,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT02OSZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmb3duZXJ0eXBlPWZhaXImam9ibGlzdF92aWV3X3ZhYz0xODkyNDk1Jm93bmVyPTUwNzAwMDAmcGFnZWNsYXNzPUpvYnMmc2VhcmNoc29ydD1jbG9zaW5nJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnJlcXNpZz0xNzA0MjI5NzQwLTdkYjNiMDc3MTI5Yzk5N2NhYmMzMDg2OGJhZjkzMzE0ZTljNzkyNWM=,,
"Performance, Assurance & Risk Senior Manager",National Crime Agency,"London*, Birmingham, Bristol, Warrington, Belfast - *For London based roles your contractual place of work will be Stratford. However, as that site will not be operational until early 2025 in the interim ... see the job advert for full location information","57,640",2024-01-21,304478,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODkyNjAzJnNlYXJjaHBhZ2U9Njgmb3duZXJ0eXBlPWZhaXImc2VhcmNoc29ydD1jbG9zaW5nJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZwYWdlY2xhc3M9Sm9icyZvd25lcj01MDcwMDAwJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnJlcXNpZz0xNzA0MjI5NzM2LWQyMzM5YWJkZjM3YTg2MDM5MzczYjYzYmU5NDI3ZmRiOWZmZTA3MzQ=,,
Civilian Consultant Royal Navy Service Entry Medical Cell,Ministry of Defence,Portsmouth,"93,666",2024-01-22,304799,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmcGFnZWNsYXNzPUpvYnMmc2VhcmNocGFnZT03MyZvd25lcnR5cGU9ZmFpciZzZWFyY2hzb3J0PWNsb3Npbmcmam9ibGlzdF92aWV3X3ZhYz0xODkwNjQ3JnJlcXNpZz0xNzA0MjI5NzU1LTZiZGZjMTVjODFkMzE0OTQ1N2QyYjAyNWY3NzE5MjVkY2NmMDQ0N2Q=,,
Lead DevOps Engineer,UK Health Security Agency,National,"51,824",2024-01-07,305614,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZzZWFyY2hzb3J0PWNsb3NpbmcmcGFnZWNsYXNzPUpvYnMmb3duZXJ0eXBlPWZhaXImcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JmpvYmxpc3Rfdmlld192YWM9MTg2OTUxMSZzZWFyY2hwYWdlPTI5JnJlcXNpZz0xNzA0MjI5NTg3LWE2ZjRmYzFlMzA0NTNlNmNlODkyNWQ2MDA2Y2NhZWY5ZGRlOTBlOGE=,,
Explosive Atmospheres Scientist/Engineer - 2 Year Fixed Term Appointment (SD Band 4 / HEO),Health and Safety Executive,"Buxton, East Midlands (England), SK17 9JN","32,802",2024-01-16,305766,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODg5ODc0JnNlYXJjaHNvcnQ9Y2xvc2luZyZ1c2Vyc2VhcmNoY29udGV4dD02MzAxNjA5NCZvd25lcnR5cGU9ZmFpciZvd25lcj01MDcwMDAwJnBhZ2VjbGFzcz1Kb2JzJnNlYXJjaHBhZ2U9NjImcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnJlcXNpZz0xNzA0MjI5NzEzLTRkYTNmYjIwODAwNzU2MTg2NjUxYjIwODViZGU1Njk1ZTYwNzk2NWU=,,
