Title,Department,Location,Salary,Closing Date,UID,URL,Full Ad Text,scraped_date
Band 5 IT Test Administrator,Office for Nuclear Regulation,"Bootle, Cheltenham, London","28,936",2024-01-31,327530,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnNlYXJjaHBhZ2U9Nzgmb3duZXI9NTA3MDAwMCZvd25lcnR5cGU9ZmFpciZqb2JsaXN0X3ZpZXdfdmFjPTE4ODc4OTgmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmc2VhcmNoc29ydD1jbG9zaW5nJnBhZ2VjbGFzcz1Kb2JzJnJlcXNpZz0xNzA0MjI5Nzc1LTdjNTEyODVhMjdmZTBhMzk4MWI5MzRlYTZhZGNkMzc5N2ZmYzJiODU=,,
Band 5 Service Desk Analyst (IT System Administrator),Office for Nuclear Regulation,"Bootle, Cheltenham, London","28,936",2024-01-31,327542,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNoc29ydD1jbG9zaW5nJnBhZ2VjbGFzcz1Kb2JzJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JmpvYmxpc3Rfdmlld192YWM9MTg4Nzg5NSZvd25lcnR5cGU9ZmFpciZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmc2VhcmNocGFnZT03OCZvd25lcj01MDcwMDAwJnJlcXNpZz0xNzA0MjI5Nzc1LTdjNTEyODVhMjdmZTBhMzk4MWI5MzRlYTZhZGNkMzc5N2ZmYzJiODU=,,
Non-Native Species Inspector ID: 856,Animal and Plant Health Agency,National,"27,470",2024-01-09,327548,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODkwMTAwJnNlYXJjaHNvcnQ9Y2xvc2luZyZvd25lcnR5cGU9ZmFpciZzZWFyY2hwYWdlPTM5Jm93bmVyPTUwNzAwMDAmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnBhZ2VjbGFzcz1Kb2JzJnJlcXNpZz0xNzA0MjI5NjI1LWU4NmVkOTdlZmI1Yjc2N2QyMGU5Zjc3ZjI0NTJlMmU4OTI2Y2ZlNjI=,,
Programme Manager – In Vitro Research ,Medical Research Council,London (Hybird working with travel across the UK and NC3Rs London office),"41,116",2024-01-08,327560,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODg3ODgyJnNlYXJjaHBhZ2U9MzYmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnNlYXJjaHNvcnQ9Y2xvc2luZyZwYWdlY2xhc3M9Sm9icyZvd25lcnR5cGU9ZmFpciZvd25lcj01MDcwMDAwJnJlcXNpZz0xNzA0MjI5NjE0LWQ2MWQwNDlkMmViYTA0NGUwYjFhMDA5M2FkNTVlYzczNTE4MTM5YWQ=,,
Lead IT Systems Engineer,Maritime and Coastguard Agency,Southampton,"40,808",2024-01-14,327589,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNoc29ydD1jbG9zaW5nJm93bmVydHlwZT1mYWlyJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0Jm93bmVyPTUwNzAwMDAmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnBhZ2VjbGFzcz1Kb2JzJmpvYmxpc3Rfdmlld192YWM9MTg5MTY5NiZzZWFyY2hwYWdlPTUzJnJlcXNpZz0xNzA0MjI5Njc4LTc1YTUzNTE5MDhlNTMwZjQwYWRiOWNiM2JmZTEwNTcyMzFiMGZmOTQ=,,
RRPA Diary Manager - London Approved Premises (Ref: 76835),HM Prison & Probation Service,"This position is based at NPS MITRE HOUSE LONDON, SE1 1JD","23,637",2024-01-15,327598,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=dXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmc2VhcmNocGFnZT02MSZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmam9ibGlzdF92aWV3X3ZhYz0xODg3OTY3Jm93bmVydHlwZT1mYWlyJnBhZ2VjbGFzcz1Kb2JzJnNlYXJjaHNvcnQ9Y2xvc2luZyZvd25lcj01MDcwMDAwJnJlcXNpZz0xNzA0MjI5NzA5LWI5ZDY3ZjJjMTRlM2M5MzViOTcyYzAyOGViMTUxMzJhNTdiNDIwNjE=,,
IT Service Manager,Maritime and Coastguard Agency,Southampton,"32,603",2024-01-14,327615,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0Jm93bmVyPTUwNzAwMDAmam9ibGlzdF92aWV3X3ZhYz0xODkxNjk3JnNlYXJjaHBhZ2U9NTMmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmb3duZXJ0eXBlPWZhaXImc2VhcmNoc29ydD1jbG9zaW5nJnJlcXNpZz0xNzA0MjI5Njc4LTc1YTUzNTE5MDhlNTMwZjQwYWRiOWNiM2JmZTEwNTcyMzFiMGZmOTQ=,,
IT Support Analyst,Maritime and Coastguard Agency,"Fareham, Southampton","28,119",2024-01-14,327652,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmb3duZXI9NTA3MDAwMCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmc2VhcmNocGFnZT01MyZqb2JsaXN0X3ZpZXdfdmFjPTE4OTE2ODAmb3duZXJ0eXBlPWZhaXImdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmc2VhcmNoc29ydD1jbG9zaW5nJnJlcXNpZz0xNzA0MjI5Njc4LTc1YTUzNTE5MDhlNTMwZjQwYWRiOWNiM2JmZTEwNTcyMzFiMGZmOTQ=,,
Occupational Health Specialist Inspector (FOD Band 3/SEO),Health and Safety Executive,"Aberdeen, Ashford (Kent), Basingstoke, Bedford, Birmingham, Bootle, Bristol, Cardiff, Carlisle, Carmarthen, Chelmsford, Crewe, Edinburgh, Glasgow, Leeds, London, Newcastle-upon-Tyne, Norwich, Nottingham, ... see the job advert for full location information","41,647",2024-01-15,327657,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNoc29ydD1jbG9zaW5nJm93bmVydHlwZT1mYWlyJm93bmVyPTUwNzAwMDAmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmcGFnZWNsYXNzPUpvYnMmam9ibGlzdF92aWV3X3ZhYz0xODg5NjY0JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZzZWFyY2hwYWdlPTU2JnJlcXNpZz0xNzA0MjI5NjkwLTA2M2E1ZGVjMDdkMDA0YTZkOTU2OTlmYTBmOGI3NzBiZjgxODk3ZDM=,,
Diving Technical Specialist (B3/SEO),Health and Safety Executive,"HSE, Harpur Hill, Buxton, Derbyshire, SK179JN","40,788",2024-01-08,327701,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=dXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmb3duZXJ0eXBlPWZhaXImcGFnZWNsYXNzPUpvYnMmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0Jm93bmVyPTUwNzAwMDAmam9ibGlzdF92aWV3X3ZhYz0xODkwNjA0JnNlYXJjaHNvcnQ9Y2xvc2luZyZzZWFyY2hwYWdlPTMwJnJlcXNpZz0xNzA0MjI5NTkxLWY4NTNkZjJiZGZhNzgxNzFjMDc0YzY0YzYxMTRmYjliYWNhNTMwMmQ=,,
Regional IT Service Manager,Maritime and Coastguard Agency,"Cardiff, Southampton","32,603",2024-01-14,327715,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JmpvYmxpc3Rfdmlld192YWM9MTg5MTgwNCZzZWFyY2hzb3J0PWNsb3Npbmcmb3duZXI9NTA3MDAwMCZ1c2Vyc2VhcmNoY29udGV4dD02MzAxNjA5NCZzZWFyY2hwYWdlPTUyJnBhZ2VjbGFzcz1Kb2JzJnJlcXNpZz0xNzA0MjI5Njc0LTAwMjdiYTVmNTcwNTg0NmI2ZmY2ZTc0OGY2MDEyZmEwNGRiY2Y0NjM=,,
Lead Business Analyst ,HM Land Registry,"Croydon, London (region), CR0 2AQ : Coventry, West Midlands (England), CV1 3BH : Weymouth, South West England, DT4 9TT : Gloucester, South West England, GL1 1DQ : Peterborough, East of England, PE1 1QF : ... see the job advert for full location information","50,372",2024-01-07,327733,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODkxNDE0JnBhZ2VjbGFzcz1Kb2JzJnNlYXJjaHNvcnQ9Y2xvc2luZyZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmc2VhcmNocGFnZT0yMiZvd25lcnR5cGU9ZmFpciZvd25lcj01MDcwMDAwJnJlcXNpZz0xNzA0MjI5NTYxLWU3YThhM2UzNTU2NmEyMjAyNDBjZjkzYjVjMzFkM2FiMzRmNDBmNjA=,,
Data Architecture and Governance Support Officer,Department for Education,"Bristol, South West England, BS2 0EL : Coventry, West Midlands (England), CV1 2WT : Darlington, North East England, DL1 5QE : Manchester, North West England, M1 2WD : Sheffield, Yorkshire and the Humber, ... see the job advert for full location information","32,222",2024-01-07,327744,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImam9ibGlzdF92aWV3X3ZhYz0xODg4NjcwJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnNlYXJjaHNvcnQ9Y2xvc2luZyZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcGFnZWNsYXNzPUpvYnMmc2VhcmNocGFnZT0yOCZvd25lcj01MDcwMDAwJnJlcXNpZz0xNzA0MjI5NTgzLTc1MGFiMzQyNWI5MmFmNmRkYjYxYTE3ZDVjMWViODM0N2MyYTc0MGQ=,,
STAR - Performance Reporting & Analysis Unit (PRAU) - Business Analyst ,Home Office,Croydon Estate; Liverpool - The Capital; Sheffield - Vulcan House,"34,350",2024-01-08,327748,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODkwNTAzJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnBhZ2VjbGFzcz1Kb2JzJm93bmVydHlwZT1mYWlyJnNlYXJjaHNvcnQ9Y2xvc2luZyZvd25lcj01MDcwMDAwJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZzZWFyY2hwYWdlPTM1JnJlcXNpZz0xNzA0MjI5NjEwLTU3OTAzZGNkNWM4OWIyMTg4ZGY3ZmQ5NmEyYTRmNmMxYTdhOWQ3MWQ=,,
Head of Recreation & Visitor Experience,Forestry Commission,"Pickering, Yorkshire and the Humber, YO18 7EL : Low Dalby, Yorkshire and the Humber, YO18 7LT","43,311",2024-01-07,327750,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0yOCZvd25lcj01MDcwMDAwJm93bmVydHlwZT1mYWlyJmpvYmxpc3Rfdmlld192YWM9MTg4ODU1MSZ1c2Vyc2VhcmNoY29udGV4dD02MzAxNjA5NCZzZWFyY2hzb3J0PWNsb3NpbmcmcGFnZWNsYXNzPUpvYnMmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnJlcXNpZz0xNzA0MjI5NTgzLTc1MGFiMzQyNWI5MmFmNmRkYjYxYTE3ZDVjMWViODM0N2MyYTc0MGQ=,,
Tax Specialist Programme 2024,HM Revenue and Customs,"Belfast, Birmingham, Bristol, Cardiff, Croydon, Edinburgh, Glasgow, Leeds, Liverpool, Manchester, Newcastle-upon-Tyne, Nottingham, Portsmouth, Stratford","35,092",2024-01-10,327755,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODg5NzY2JnBhZ2VjbGFzcz1Kb2JzJm93bmVyPTUwNzAwMDAmc2VhcmNocGFnZT00MyZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmc2VhcmNoc29ydD1jbG9zaW5nJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0Jm93bmVydHlwZT1mYWlyJnJlcXNpZz0xNzA0MjI5NjQwLThhNTk0Nzk4YzE1OTFkMTUwZjM3ZjA0MWQxMmQ5M2E1NDA2YjhmN2I=,,
DNO - Warhead Tooling Quality Manager,Ministry of Defence,"AWE Burghfield: Reading, AWE Aldermaston: Reading","43,080",2024-01-07,327757,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnNlYXJjaHNvcnQ9Y2xvc2luZyZqb2JsaXN0X3ZpZXdfdmFjPTE4ODk0MzYmcGFnZWNsYXNzPUpvYnMmb3duZXI9NTA3MDAwMCZ1c2Vyc2VhcmNoY29udGV4dD02MzAxNjA5NCZvd25lcnR5cGU9ZmFpciZzZWFyY2hwYWdlPTI3JnJlcXNpZz0xNzA0MjI5NTgwLTJjMzgwY2EyZDZiMzgwOWI3MzU4YmMwNGNiZGE1YjA5YWVlZDgyOTU=,,
DIO Associate Commercial Lead - Navy & Maritime,Ministry of Defence,"Glasgow, G2 8EX You will be required to work from this office on a hybrid basis (i.e.60% of your time in office), therefore you must consider if the above location is within a reasonable travelling distance.","43,080",2024-01-07,327783,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZzZWFyY2hwYWdlPTI4JnBhZ2VjbGFzcz1Kb2JzJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZqb2JsaXN0X3ZpZXdfdmFjPTE4ODg1MDAmb3duZXJ0eXBlPWZhaXImc2VhcmNoc29ydD1jbG9zaW5nJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnJlcXNpZz0xNzA0MjI5NTgzLTc1MGFiMzQyNWI5MmFmNmRkYjYxYTE3ZDVjMWViODM0N2MyYTc0MGQ=,,
Senior Specialist Security Adviser (extended),Defence Science and Technology Laboratory,"Dstl Porton Down, Salisbury, SP4 0JQ","35,970",2024-01-07,327784,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnBhZ2VjbGFzcz1Kb2JzJm93bmVydHlwZT1mYWlyJmpvYmxpc3Rfdmlld192YWM9MTg4ODM5MiZ1c2Vyc2VhcmNoY29udGV4dD02MzAxNjA5NCZzZWFyY2hzb3J0PWNsb3Npbmcmb3duZXI9NTA3MDAwMCZzZWFyY2hwYWdlPTI4JnJlcXNpZz0xNzA0MjI5NTgzLTc1MGFiMzQyNWI5MmFmNmRkYjYxYTE3ZDVjMWViODM0N2MyYTc0MGQ=,,
Technical Field Officer - England,Animal and Plant Health Agency,"Bury St Edmunds, Chelmsford, Crewe, Exeter, Leicester, Lincoln, Preston, Shrewsbury, Stafford, Wallingford, Welwyn Garden City, Winchester, Worcester","27,470",2024-01-08,327788,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODg5ODEyJnNlYXJjaHBhZ2U9MzYmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnNlYXJjaHNvcnQ9Y2xvc2luZyZwYWdlY2xhc3M9Sm9icyZvd25lcnR5cGU9ZmFpciZvd25lcj01MDcwMDAwJnJlcXNpZz0xNzA0MjI5NjE0LWQ2MWQwNDlkMmViYTA0NGUwYjFhMDA5M2FkNTVlYzczNTE4MTM5YWQ=,,
Policy Lab Studio Manager (maternity cover),Department for Education,"Bristol, South West England, BS2 0EL : Leeds, Yorkshire and the Humber, LS1 4AP : City of Westminster, London (region), SW1P 3BT","39,483",2024-01-14,327806,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT01NiZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmam9ibGlzdF92aWV3X3ZhYz0xODg4ODk0JnBhZ2VjbGFzcz1Kb2JzJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0Jm93bmVyPTUwNzAwMDAmb3duZXJ0eXBlPWZhaXImc2VhcmNoc29ydD1jbG9zaW5nJnJlcXNpZz0xNzA0MjI5NjkwLTA2M2E1ZGVjMDdkMDA0YTZkOTU2OTlmYTBmOGI3NzBiZjgxODk3ZDM=,,
Senior Incident Officer – UK Product Safety Contact Point and Construction Products,Department for Business and Trade,"Birmingham, London and Teddington","39,384",2024-01-07,327816,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmc2VhcmNoc29ydD1jbG9zaW5nJmpvYmxpc3Rfdmlld192YWM9MTg4OTQ0NyZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmc2VhcmNocGFnZT0yNyZvd25lcnR5cGU9ZmFpciZ1c2Vyc2VhcmNoY29udGV4dD02MzAxNjA5NCZvd25lcj01MDcwMDAwJnJlcXNpZz0xNzA0MjI5NTgwLTJjMzgwY2EyZDZiMzgwOWI3MzU4YmMwNGNiZGE1YjA5YWVlZDgyOTU=,,
DIO Commercial Practitioner - Navy & Maritime,Ministry of Defence,"Andover, SP11 8HJ. You will be required to work from this office on a hybrid basis (i.e.60% of your time in office), therefore you must consider if the above location is within a reasonable travelling distance.","35,290",2024-01-07,327823,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnBhZ2VjbGFzcz1Kb2JzJm93bmVydHlwZT1mYWlyJmpvYmxpc3Rfdmlld192YWM9MTg4ODY4MyZ1c2Vyc2VhcmNoY29udGV4dD02MzAxNjA5NCZzZWFyY2hzb3J0PWNsb3Npbmcmb3duZXI9NTA3MDAwMCZzZWFyY2hwYWdlPTI4JnJlcXNpZz0xNzA0MjI5NTgzLTc1MGFiMzQyNWI5MmFmNmRkYjYxYTE3ZDVjMWViODM0N2MyYTc0MGQ=,,
CMA2001 - Nations Representative - Scotland,Competition & Markets Authority,Edinburgh,"53,364",2024-01-22,327832,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODkyODY4Jm93bmVyPTUwNzAwMDAmb3duZXJ0eXBlPWZhaXImdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmc2VhcmNocGFnZT03MiZzZWFyY2hzb3J0PWNsb3NpbmcmcGFnZWNsYXNzPUpvYnMmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnJlcXNpZz0xNzA0MjI5NzUyLTRjYzMyOWM0ZWZhMDhlM2EzMzNjMWU1N2U0YjlkZGI2MTE1YmYzMjI=,,
Cyber Security Analyst,"Department for Environment, Food and Rural Affairs","Our main Defra DDTS hubs are in York, Warrington, Newcastle, Reading and Bristol, however the successful candidate may be contractually based at any Defra office. Please be aware that space within the London ... see the job advert for full location information","39,439",2024-01-16,327856,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0Jm93bmVyPTUwNzAwMDAmc2VhcmNoc29ydD1jbG9zaW5nJnNlYXJjaHBhZ2U9NjMmam9ibGlzdF92aWV3X3ZhYz0xODkyODgwJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnBhZ2VjbGFzcz1Kb2JzJm93bmVydHlwZT1mYWlyJnJlcXNpZz0xNzA0MjI5NzE3LWE1ZjU0NzQ3NmZiZjQzZjNhYTAzMmVmNGNmNmRlNjNhOTY0MThmNTA=,,
Safer and Greener Buildings Economist ,"Department for Levelling Up, Housing and Communities","Birmingham, Darlington, Leeds, Manchester, Wolverhampton","61,599",2024-01-07,327879,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZvd25lcnR5cGU9ZmFpciZ1c2Vyc2VhcmNoY29udGV4dD02MzAxNjA5NCZzZWFyY2hwYWdlPTI3JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZzZWFyY2hzb3J0PWNsb3Npbmcmam9ibGlzdF92aWV3X3ZhYz0xODkwMTA5JnBhZ2VjbGFzcz1Kb2JzJnJlcXNpZz0xNzA0MjI5NTgwLTJjMzgwY2EyZDZiMzgwOWI3MzU4YmMwNGNiZGE1YjA5YWVlZDgyOTU=,,
Academic Social Research Secondment,Department for Work and Pensions,Remote working (anywhere in the UK),"40,682",2024-02-19,327892,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZvd25lcnR5cGU9ZmFpciZ1c2Vyc2VhcmNoY29udGV4dD02MzAxNjA5NCZqb2JsaXN0X3ZpZXdfdmFjPTE4OTAzMTImcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnNlYXJjaHNvcnQ9Y2xvc2luZyZwYWdlY2xhc3M9Sm9icyZzZWFyY2hwYWdlPTgwJnJlcXNpZz0xNzA0MjI5NzgzLWEyZWM3YWI3Zjg0MGU0OWM3NGRiNjY5Y2I3YmM4OWIxMzMxNDk4YzM=,,
Border Force - Deputy Head of Internal Communications,Home Office,"Apollo House - Croydon, 2 Marsham Street - London","45,600",2024-01-12,327901,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnNlYXJjaHNvcnQ9Y2xvc2luZyZqb2JsaXN0X3ZpZXdfdmFjPTE4ODg3MTMmb3duZXJ0eXBlPWZhaXImb3duZXI9NTA3MDAwMCZwYWdlY2xhc3M9Sm9icyZzZWFyY2hwYWdlPTQ4JnJlcXNpZz0xNzA0MjI5NjU5LTg4M2M4NDYyYTkwYWRkNjhkNmVkNmI2NTY1MDU2Y2FhODcxZGQ0Nzg=,,
Band 7 Cognitive Behavioural Therapist,Ministry of Defence,"MHT Wrexham, Hightown Barracks, Wrexham, LL13 8RD","43,742",2024-01-08,327906,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODg4NTQzJnNlYXJjaHBhZ2U9MzYmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0Jm93bmVyPTUwNzAwMDAmc2VhcmNoc29ydD1jbG9zaW5nJnBhZ2VjbGFzcz1Kb2JzJm93bmVydHlwZT1mYWlyJnJlcXNpZz0xNzA0MjI5NjE0LWQ2MWQwNDlkMmViYTA0NGUwYjFhMDA5M2FkNTVlYzczNTE4MTM5YWQ=,,
Commercial Manager – UK Strategic Command,Ministry of Defence,"Abbey Wood, Bristol, BS34 8JH; MOD Corsham, South West, SN139NR; Defence Academy, Shrivenham, Swindon, SN6 8LA","33,830",2024-01-07,327973,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNoc29ydD1jbG9zaW5nJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JmpvYmxpc3Rfdmlld192YWM9MTg4ODIzNiZvd25lcnR5cGU9ZmFpciZwYWdlY2xhc3M9Sm9icyZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmc2VhcmNocGFnZT0yOCZvd25lcj01MDcwMDAwJnJlcXNpZz0xNzA0MjI5NTgzLTc1MGFiMzQyNWI5MmFmNmRkYjYxYTE3ZDVjMWViODM0N2MyYTc0MGQ=,,
Senior Personal Assistant,Defence Science and Technology Laboratory,"Dstl Porton Down, Salisbury - SP4 0JQ","27,620",2024-01-07,327981,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnBhZ2VjbGFzcz1Kb2JzJmpvYmxpc3Rfdmlld192YWM9MTg4ODM3MyZvd25lcnR5cGU9ZmFpciZzZWFyY2hzb3J0PWNsb3NpbmcmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmb3duZXI9NTA3MDAwMCZzZWFyY2hwYWdlPTI4JnJlcXNpZz0xNzA0MjI5NTgzLTc1MGFiMzQyNWI5MmFmNmRkYjYxYTE3ZDVjMWViODM0N2MyYTc0MGQ=,,
HEO Senior Mental Health Social Worker,Ministry of Defence,"DCMH Kinloss, RAF Kinloss, 27 Portal Road, Morayshire IV36 3UH","35,290",2024-01-08,328004,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0zNSZzZWFyY2hzb3J0PWNsb3Npbmcmb3duZXI9NTA3MDAwMCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmb3duZXJ0eXBlPWZhaXImdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmam9ibGlzdF92aWV3X3ZhYz0xODkwNDk2JnBhZ2VjbGFzcz1Kb2JzJnJlcXNpZz0xNzA0MjI5NjEwLTU3OTAzZGNkNWM4OWIyMTg4ZGY3ZmQ5NmEyYTRmNmMxYTdhOWQ3MWQ=,,
Navy Command Submarine Directorate -Programme Delivery Support Assistant,Ministry of Defence,Navy Command Headquarters – Portsmouth,"28,300",2024-01-22,328007,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImc2VhcmNocGFnZT03MyZwYWdlY2xhc3M9Sm9icyZ1c2Vyc2VhcmNoY29udGV4dD02MzAxNjA5NCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmb3duZXI9NTA3MDAwMCZqb2JsaXN0X3ZpZXdfdmFjPTE4ODgyNjMmc2VhcmNoc29ydD1jbG9zaW5nJnJlcXNpZz0xNzA0MjI5NzU1LTZiZGZjMTVjODFkMzE0OTQ1N2QyYjAyNWY3NzE5MjVkY2NmMDQ0N2Q=,,
Army - Specialist Instructional Officer - Canine,Ministry of Defence,"Defence Animal Training Regiment (DATR) Melton Mowbray, LE13 0HX. We are passionate about Smarter Working and believe that a combination of flexible working practices, digital technology and modern workspaces ... see the job advert for full location information","28,300",2024-01-08,328035,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNoc29ydD1jbG9zaW5nJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcj01MDcwMDAwJnNlYXJjaHBhZ2U9MzUmam9ibGlzdF92aWV3X3ZhYz0xODkwMzY4JnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnBhZ2VjbGFzcz1Kb2JzJm93bmVydHlwZT1mYWlyJnJlcXNpZz0xNzA0MjI5NjEwLTU3OTAzZGNkNWM4OWIyMTg4ZGY3ZmQ5NmEyYTRmNmMxYTdhOWQ3MWQ=,,
