Title,Department,Location,Salary,Closing Date,UID,URL
SEO- Head of Ministerial Support Unit ,Department for Energy Security & Net Zero,London,"Salary : £41,055 to £45,565",Closes : 11:55 pm on Saturday 25th November 2023,Reference : 324293,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImc2VhcmNoc29ydD1jbG9zaW5nJnVzZXJzZWFyY2hjb250ZXh0PTU5MzMwMDQ0JmpvYmxpc3Rfdmlld192YWM9MTg4NjEzMiZwYWdlY2xhc3M9Sm9icyZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmb3duZXI9NTA3MDAwMCZzZWFyY2hwYWdlPTEmcmVxc2lnPTE3MDA5MzIzNzgtYWY0MTRjNjA4YWM2NmUxMTI1NjllNDJlZTE4MTE2MzM2OTJkNmYzYg==
Correspondence and Parliamentary Affairs Officer,Department for Energy Security & Net Zero,"Aberdeen, Birmingham, Cardiff, Darlington, Edinburgh, London, Salford","Salary : £25,310 to £31,825",Closes : 11:55 pm on Saturday 25th November 2023,Reference : 324861,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImc2VhcmNoc29ydD1jbG9zaW5nJnVzZXJzZWFyY2hjb250ZXh0PTU5MzMwMDQ0JmpvYmxpc3Rfdmlld192YWM9MTg4NTY1NyZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcGFnZWNsYXNzPUpvYnMmb3duZXI9NTA3MDAwMCZzZWFyY2hwYWdlPTEmcmVxc2lnPTE3MDA5MzIzNzgtYWY0MTRjNjA4YWM2NmUxMTI1NjllNDJlZTE4MTE2MzM2OTJkNmYzYg==
Royal Navy Develop Directorate - MRSS Programme Controls Officer ,Ministry of Defence,"Portsmouth, South East England, PO2 8BY","Salary : £35,290",Closes : 11:55 pm on Saturday 25th November 2023,Reference : 322837,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODg0MDU5JnVzZXJzZWFyY2hjb250ZXh0PTU5MzMwMDQ0Jm93bmVydHlwZT1mYWlyJnNlYXJjaHNvcnQ9Y2xvc2luZyZzZWFyY2hwYWdlPTEmb3duZXI9NTA3MDAwMCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcGFnZWNsYXNzPUpvYnMmcmVxc2lnPTE3MDA5MzIzNzgtYWY0MTRjNjA4YWM2NmUxMTI1NjllNDJlZTE4MTE2MzM2OTJkNmYzYg==
Agricultural Officer - Lerwick (2023-7015),Scottish Government,"Lerwick, Scotland, ZE1 0HF","Salary : £30,558 to £33,539",Closes : 10:55 am on Sunday 26th November 2023,Reference : 324001,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImc2VhcmNoc29ydD1jbG9zaW5nJnVzZXJzZWFyY2hjb250ZXh0PTU5MzMwMDQ0JmpvYmxpc3Rfdmlld192YWM9MTg4NDc5OCZwYWdlY2xhc3M9Sm9icyZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmc2VhcmNocGFnZT0xJm93bmVyPTUwNzAwMDAmcmVxc2lnPTE3MDA5MzIzNzgtYWY0MTRjNjA4YWM2NmUxMTI1NjllNDJlZTE4MTE2MzM2OTJkNmYzYg==
DIO - Area Manager Falklands and Ascension Islands,Ministry of Defence,"British Forces Post Office 655, Falklands Island","Salary : £57,670",Closes : 11:55 pm on Sunday 26th November 2023,Reference : 327692,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnNlYXJjaHBhZ2U9MSZvd25lcj01MDcwMDAwJnNlYXJjaHNvcnQ9Y2xvc2luZyZvd25lcnR5cGU9ZmFpciZ1c2Vyc2VhcmNoY29udGV4dD01OTMzMDA0NCZqb2JsaXN0X3ZpZXdfdmFjPTE4ODgwNDEmcmVxc2lnPTE3MDA5MzIzNzgtYWY0MTRjNjA4YWM2NmUxMTI1NjllNDJlZTE4MTE2MzM2OTJkNmYzYg==
HR Project Assistant- 12 month fixed term contract,Children and Family Court Advisory and Support Service,"East Midlands (England), East of England, London (region), North East England, North West England, South East England, South West England, Wales, West Midlands (England)","Salary : £24,417 to £25,540",Closes : 11:55 pm on Sunday 26th November 2023,Reference : 327566,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImc2VhcmNoc29ydD1jbG9zaW5nJnVzZXJzZWFyY2hjb250ZXh0PTU5MzMwMDQ0JmpvYmxpc3Rfdmlld192YWM9MTg4Nzg5NyZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcGFnZWNsYXNzPUpvYnMmc2VhcmNocGFnZT0xJm93bmVyPTUwNzAwMDAmcmVxc2lnPTE3MDA5MzIzNzgtYWY0MTRjNjA4YWM2NmUxMTI1NjllNDJlZTE4MTE2MzM2OTJkNmYzYg==
Data Engineer,Driver and Vehicle Licensing Agency,Swansea,"Salary : £32,603",Closes : 11:55 pm on Sunday 26th November 2023,Reference : 325875,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=dXNlcnNlYXJjaGNvbnRleHQ9NTkzMzAwNDQmam9ibGlzdF92aWV3X3ZhYz0xODg3NzI0Jm93bmVydHlwZT1mYWlyJnNlYXJjaHNvcnQ9Y2xvc2luZyZzZWFyY2hwYWdlPTEmb3duZXI9NTA3MDAwMCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcGFnZWNsYXNzPUpvYnMmcmVxc2lnPTE3MDA5MzIzNzgtYWY0MTRjNjA4YWM2NmUxMTI1NjllNDJlZTE4MTE2MzM2OTJkNmYzYg==
Senior Performance Analyst,Driver and Vehicle Standards Agency,"Birmingham, Bristol, Newcastle-upon-Tyne, Nottingham, Oldham, Swansea","Salary : £40,808",Closes : 11:55 pm on Sunday 26th November 2023,Reference : 326058,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODg3NjA2JnVzZXJzZWFyY2hjb250ZXh0PTU5MzMwMDQ0Jm93bmVydHlwZT1mYWlyJnNlYXJjaHNvcnQ9Y2xvc2luZyZvd25lcj01MDcwMDAwJnNlYXJjaHBhZ2U9MSZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcGFnZWNsYXNzPUpvYnMmcmVxc2lnPTE3MDA5MzIzNzgtYWY0MTRjNjA4YWM2NmUxMTI1NjllNDJlZTE4MTE2MzM2OTJkNmYzYg==
Cyber Security Apprentice ,Driver and Vehicle Standards Agency,Nottingham,"Salary : £28,119",Closes : 11:55 pm on Sunday 26th November 2023,Reference : 326171,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0xJm93bmVyPTUwNzAwMDAmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnBhZ2VjbGFzcz1Kb2JzJmpvYmxpc3Rfdmlld192YWM9MTg4NzU1MCZ1c2Vyc2VhcmNoY29udGV4dD01OTMzMDA0NCZzZWFyY2hzb3J0PWNsb3Npbmcmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDA5MzIzNzgtYWY0MTRjNjA4YWM2NmUxMTI1NjllNDJlZTE4MTE2MzM2OTJkNmYzYg==
Senior End User Computing Engineer,Met Office,"Exeter, South West England, EX1 3PB","Salary : £32,100 to £34,925",Closes : 11:55 pm on Sunday 26th November 2023,Reference : 327135,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=dXNlcnNlYXJjaGNvbnRleHQ9NTkzMzAwNDQmam9ibGlzdF92aWV3X3ZhYz0xODg3NDk1JnNlYXJjaHNvcnQ9Y2xvc2luZyZvd25lcnR5cGU9ZmFpciZzZWFyY2hwYWdlPTEmb3duZXI9NTA3MDAwMCZwYWdlY2xhc3M9Sm9icyZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcmVxc2lnPTE3MDA5MzIzNzgtYWY0MTRjNjA4YWM2NmUxMTI1NjllNDJlZTE4MTE2MzM2OTJkNmYzYg==
