Title,Department,Location,Salary,Closing Date,UID,URL
Investment Zones Evaluator ,"Department for Levelling Up, Housing and Communities","Bristol, Darlington, Leeds, Manchester, Wolverhampton","Salary : £32,178",Closes : Midday on Wednesday 29th November 2023,Reference : 327088,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0xJnBhZ2VjbGFzcz1Kb2JzJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcj01MDcwMDAwJmpvYmxpc3Rfdmlld192YWM9MTg4Nzg4MyZ1c2Vyc2VhcmNoY29udGV4dD01OTc1NjAyNSZzZWFyY2hzb3J0PWNsb3Npbmcmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDEyNTI0MzYtODBhODhlNmY5Yzk1OTE3YjA3NzM1MDE2NmZmMzFlOGMzZjM0YmYzMg==
Collections Manager (NCAP),Historic Environment Scotland,Edinburgh,"Salary : £28,541 to £34,702",Closes : Midday on Wednesday 29th November 2023,Reference : 325901,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZqb2JsaXN0X3ZpZXdfdmFjPTE4ODcxODEmc2VhcmNoc29ydD1jbG9zaW5nJm93bmVydHlwZT1mYWlyJnVzZXJzZWFyY2hjb250ZXh0PTU5NzU2MDI1JnNlYXJjaHBhZ2U9MSZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcGFnZWNsYXNzPUpvYnMmcmVxc2lnPTE3MDEyNTI0MzYtODBhODhlNmY5Yzk1OTE3YjA3NzM1MDE2NmZmMzFlOGMzZjM0YmYzMg==
Programme Support Officer,Forestry Commission - Forest Research,"This role can be based at Northern Research Station, Roslin, Midlothian EH25 9SY, Alice Holt Lodge, Farnham, Surrey GU10 4LH or at Forestry Commission, Coldharbour Lane, Bristol BS16 1EJ. Other UK locations ... see the job advert for full location information","Salary : £27,779 to £30,168",Closes : Midday on Wednesday 29th November 2023,Reference : 324925,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnNlYXJjaHBhZ2U9MSZwYWdlY2xhc3M9Sm9icyZvd25lcj01MDcwMDAwJmpvYmxpc3Rfdmlld192YWM9MTg4Njc4OCZzZWFyY2hzb3J0PWNsb3NpbmcmdXNlcnNlYXJjaGNvbnRleHQ9NTk3NTYwMjUmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDEyNTI0MzYtODBhODhlNmY5Yzk1OTE3YjA3NzM1MDE2NmZmMzFlOGMzZjM0YmYzMg==
ID 478 - Senior Capital Budget Manager ,Welsh Government,Wales,"Salary : £43,785 to £51,839",Closes : 4:00 pm on Wednesday 29th November 2023,Reference : 326824,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNoc29ydD1jbG9zaW5nJnVzZXJzZWFyY2hjb250ZXh0PTU5NzU2MDI1Jm93bmVydHlwZT1mYWlyJmpvYmxpc3Rfdmlld192YWM9MTg4NzIyNCZvd25lcj01MDcwMDAwJnBhZ2VjbGFzcz1Kb2JzJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZzZWFyY2hwYWdlPTEmcmVxc2lnPTE3MDEyNTI0MzYtODBhODhlNmY5Yzk1OTE3YjA3NzM1MDE2NmZmMzFlOGMzZjM0YmYzMg==
ID 419 - Smart Living Project Manager - HEO,Welsh Government,Wales,"Salary : £34,083 to £41,675",Closes : 4:00 pm on Wednesday 29th November 2023,Reference : 326293,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=dXNlcnNlYXJjaGNvbnRleHQ9NTk3NTYwMjUmc2VhcmNoc29ydD1jbG9zaW5nJm93bmVydHlwZT1mYWlyJmpvYmxpc3Rfdmlld192YWM9MTg4Njg3NiZvd25lcj01MDcwMDAwJnNlYXJjaHBhZ2U9MSZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcGFnZWNsYXNzPUpvYnMmcmVxc2lnPTE3MDEyNTI0MzYtODBhODhlNmY5Yzk1OTE3YjA3NzM1MDE2NmZmMzFlOGMzZjM0YmYzMg==
Scientific Software Engineer - Ensemble Exploitation & Post Processing,Met Office,South West England,"Salary : £32,100 to £34,925",Closes : 11:55 pm on Wednesday 29th November 2023,Reference : 329065,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZqb2JsaXN0X3ZpZXdfdmFjPTE4ODkxMzcmc2VhcmNoc29ydD1jbG9zaW5nJnVzZXJzZWFyY2hjb250ZXh0PTU5NzU2MDI1Jm93bmVydHlwZT1mYWlyJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZwYWdlY2xhc3M9Sm9icyZzZWFyY2hwYWdlPTEmcmVxc2lnPTE3MDEyNTI0MzYtODBhODhlNmY5Yzk1OTE3YjA3NzM1MDE2NmZmMzFlOGMzZjM0YmYzMg==
Economist - Sustainable Aviation Fuel Commercialisation Analysis,Department for Transport,"Birmingham, Leeds","Salary : £51,997",Closes : 11:55 pm on Wednesday 29th November 2023,Reference : 325691,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0xJnBhZ2VjbGFzcz1Kb2JzJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcj01MDcwMDAwJmpvYmxpc3Rfdmlld192YWM9MTg4NzcyMSZ1c2Vyc2VhcmNoY29udGV4dD01OTc1NjAyNSZzZWFyY2hzb3J0PWNsb3Npbmcmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDEyNTI0MzYtODBhODhlNmY5Yzk1OTE3YjA3NzM1MDE2NmZmMzFlOGMzZjM0YmYzMg==
Funding Manager,The National Lottery Community Fund,South West England,"Salary : £32,656 to £34,656",Closes : 11:55 pm on Wednesday 29th November 2023,Reference : 326045,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0xJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZwYWdlY2xhc3M9Sm9icyZzZWFyY2hzb3J0PWNsb3NpbmcmdXNlcnNlYXJjaGNvbnRleHQ9NTk3NTYwMjUmb3duZXJ0eXBlPWZhaXImb3duZXI9NTA3MDAwMCZqb2JsaXN0X3ZpZXdfdmFjPTE4ODc2MzgmcmVxc2lnPTE3MDEyNTI0MzYtODBhODhlNmY5Yzk1OTE3YjA3NzM1MDE2NmZmMzFlOGMzZjM0YmYzMg==
Defence Business Services - (DBS) - DIT - Oracle Live Services Manager SEO,Ministry of Defence,"Tomlinson House, Norcross, Blackpool, Lancashire","Salary : £43,080",Closes : 11:55 pm on Wednesday 29th November 2023,Reference : 326493,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnNlYXJjaHBhZ2U9MSZzZWFyY2hzb3J0PWNsb3NpbmcmdXNlcnNlYXJjaGNvbnRleHQ9NTk3NTYwMjUmb3duZXJ0eXBlPWZhaXImb3duZXI9NTA3MDAwMCZqb2JsaXN0X3ZpZXdfdmFjPTE4ODczOTgmcmVxc2lnPTE3MDEyNTI0MzYtODBhODhlNmY5Yzk1OTE3YjA3NzM1MDE2NmZmMzFlOGMzZjM0YmYzMg==
Defence Business Services (DBS) Test Engineer,Ministry of Defence,Norcross - Tomlinson House Tomlinson House Norcross Blackpool Lancashire,"Salary : £35,290",Closes : 11:55 pm on Wednesday 29th November 2023,Reference : 326869,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNoc29ydD1jbG9zaW5nJnVzZXJzZWFyY2hjb250ZXh0PTU5NzU2MDI1Jm93bmVydHlwZT1mYWlyJmpvYmxpc3Rfdmlld192YWM9MTg4NzM5NCZvd25lcj01MDcwMDAwJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZwYWdlY2xhc3M9Sm9icyZzZWFyY2hwYWdlPTEmcmVxc2lnPTE3MDEyNTI0MzYtODBhODhlNmY5Yzk1OTE3YjA3NzM1MDE2NmZmMzFlOGMzZjM0YmYzMg==
