Title,Department,Location,Salary,Closing Date,UID,URL
DIO - Area Manager Falklands and Ascension Islands,Ministry of Defence,"British Forces Post Office 655, Falklands Island","Salary : £57,670",Closes : 11:55 pm on Sunday 26th November 2023,Reference : 327692,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0xJm93bmVyPTUwNzAwMDAmc2VhcmNoc29ydD1jbG9zaW5nJnBhZ2VjbGFzcz1Kb2JzJnVzZXJzZWFyY2hjb250ZXh0PTU5NDE1MDAyJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcnR5cGU9ZmFpciZqb2JsaXN0X3ZpZXdfdmFjPTE4ODgwNDEmcmVxc2lnPTE3MDEwNDE4MDItZTJlMjI1NjJmMzI1MWFlMzM3ZTc5YTc3NWQ3Zjk5OTAxOTg3MmM1MQ==
HR Project Assistant- 12 month fixed term contract,Children and Family Court Advisory and Support Service,"East Midlands (England), East of England, London (region), North East England, North West England, South East England, South West England, Wales, West Midlands (England)","Salary : £24,417 to £25,540",Closes : 11:55 pm on Sunday 26th November 2023,Reference : 327566,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODg3ODk3JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcnR5cGU9ZmFpciZ1c2Vyc2VhcmNoY29udGV4dD01OTQxNTAwMiZwYWdlY2xhc3M9Sm9icyZzZWFyY2hzb3J0PWNsb3Npbmcmc2VhcmNocGFnZT0xJm93bmVyPTUwNzAwMDAmcmVxc2lnPTE3MDEwNDE4MDItZTJlMjI1NjJmMzI1MWFlMzM3ZTc5YTc3NWQ3Zjk5OTAxOTg3MmM1MQ==
Data Engineer,Driver and Vehicle Licensing Agency,Swansea,"Salary : £32,603",Closes : 11:55 pm on Sunday 26th November 2023,Reference : 325875,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODg3NzI0Jm93bmVydHlwZT1mYWlyJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZ1c2Vyc2VhcmNoY29udGV4dD01OTQxNTAwMiZvd25lcj01MDcwMDAwJnNlYXJjaHBhZ2U9MSZzZWFyY2hzb3J0PWNsb3NpbmcmcGFnZWNsYXNzPUpvYnMmcmVxc2lnPTE3MDEwNDE4MDItZTJlMjI1NjJmMzI1MWFlMzM3ZTc5YTc3NWQ3Zjk5OTAxOTg3MmM1MQ==
Senior Performance Analyst,Driver and Vehicle Standards Agency,"Birmingham, Bristol, Newcastle-upon-Tyne, Nottingham, Oldham, Swansea","Salary : £40,808",Closes : 11:55 pm on Sunday 26th November 2023,Reference : 326058,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0xJm93bmVyPTUwNzAwMDAmc2VhcmNoc29ydD1jbG9zaW5nJnBhZ2VjbGFzcz1Kb2JzJnVzZXJzZWFyY2hjb250ZXh0PTU5NDE1MDAyJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcnR5cGU9ZmFpciZqb2JsaXN0X3ZpZXdfdmFjPTE4ODc2MDYmcmVxc2lnPTE3MDEwNDE4MDItZTJlMjI1NjJmMzI1MWFlMzM3ZTc5YTc3NWQ3Zjk5OTAxOTg3MmM1MQ==
Cyber Security Apprentice ,Driver and Vehicle Standards Agency,Nottingham,"Salary : £28,119",Closes : 11:55 pm on Sunday 26th November 2023,Reference : 326171,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODg3NTUwJm93bmVydHlwZT1mYWlyJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZ1c2Vyc2VhcmNoY29udGV4dD01OTQxNTAwMiZvd25lcj01MDcwMDAwJnNlYXJjaHBhZ2U9MSZwYWdlY2xhc3M9Sm9icyZzZWFyY2hzb3J0PWNsb3NpbmcmcmVxc2lnPTE3MDEwNDE4MDItZTJlMjI1NjJmMzI1MWFlMzM3ZTc5YTc3NWQ3Zjk5OTAxOTg3MmM1MQ==
Senior End User Computing Engineer,Met Office,"Exeter, South West England, EX1 3PB","Salary : £32,100 to £34,925",Closes : 11:55 pm on Sunday 26th November 2023,Reference : 327135,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODg3NDk1JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcnR5cGU9ZmFpciZ1c2Vyc2VhcmNoY29udGV4dD01OTQxNTAwMiZzZWFyY2hwYWdlPTEmb3duZXI9NTA3MDAwMCZwYWdlY2xhc3M9Sm9icyZzZWFyY2hzb3J0PWNsb3NpbmcmcmVxc2lnPTE3MDEwNDE4MDItZTJlMjI1NjJmMzI1MWFlMzM3ZTc5YTc3NWQ3Zjk5OTAxOTg3MmM1MQ==
Senior Dynamics Developer ,Driver and Vehicle Standards Agency,"Birmingham, Bristol, Newcastle-upon-Tyne, Nottingham, Oldham, Swansea","Salary : £37,428 to £42,991",Closes : 11:55 pm on Sunday 26th November 2023,Reference : 326456,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=dXNlcnNlYXJjaGNvbnRleHQ9NTk0MTUwMDImc2VhcmNoc29ydD1jbG9zaW5nJnBhZ2VjbGFzcz1Kb2JzJnNlYXJjaHBhZ2U9MSZvd25lcj01MDcwMDAwJmpvYmxpc3Rfdmlld192YWM9MTg4NzQ5MiZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDEwNDE4MDItZTJlMjI1NjJmMzI1MWFlMzM3ZTc5YTc3NWQ3Zjk5OTAxOTg3MmM1MQ==
Software Developer,Driver and Vehicle Standards Agency,"You can choose from Bristol, Newcastle, Nottingham, Swansea, Oldham or Birmingham as your home office. We offer hybrid working – giving you greater flexibility about where and when you work.","Salary : £32,603 to £34,862",Closes : 11:55 pm on Sunday 26th November 2023,Reference : 323839,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODg3NDcxJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcnR5cGU9ZmFpciZ1c2Vyc2VhcmNoY29udGV4dD01OTQxNTAwMiZzZWFyY2hzb3J0PWNsb3NpbmcmcGFnZWNsYXNzPUpvYnMmc2VhcmNocGFnZT0xJm93bmVyPTUwNzAwMDAmcmVxc2lnPTE3MDEwNDE4MDItZTJlMjI1NjJmMzI1MWFlMzM3ZTc5YTc3NWQ3Zjk5OTAxOTg3MmM1MQ==
Strategic Engagement Lead,Department for Work and Pensions,"This role may be located in one of the following locations; Birmingham, Blackpool, Leeds, Manchester, Newcastle-upon-Tyne and Sheffield. Please find further information on the Corporate hub locations here.","Salary : £54,516 to £66,039",Closes : 11:55 pm on Sunday 26th November 2023,Reference : 322930,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODg3MzI4Jm93bmVydHlwZT1mYWlyJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZ1c2Vyc2VhcmNoY29udGV4dD01OTQxNTAwMiZvd25lcj01MDcwMDAwJnNlYXJjaHBhZ2U9MSZwYWdlY2xhc3M9Sm9icyZzZWFyY2hzb3J0PWNsb3NpbmcmcmVxc2lnPTE3MDEwNDE4MDItZTJlMjI1NjJmMzI1MWFlMzM3ZTc5YTc3NWQ3Zjk5OTAxOTg3MmM1MQ==
Senior Policy Advisors - Nuclear Fuel,Department for Energy Security & Net Zero,"Aberdeen, Birmingham, Cardiff, Darlington, Edinburgh, London, Salford","Salary : £50,305 to £61,145",Closes : 11:55 pm on Sunday 26th November 2023,Reference : 326778,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JmpvYmxpc3Rfdmlld192YWM9MTg4NzI4MyZvd25lcj01MDcwMDAwJnNlYXJjaHBhZ2U9MSZwYWdlY2xhc3M9Sm9icyZzZWFyY2hzb3J0PWNsb3NpbmcmdXNlcnNlYXJjaGNvbnRleHQ9NTk0MTUwMDImcmVxc2lnPTE3MDEwNDE4MDItZTJlMjI1NjJmMzI1MWFlMzM3ZTc5YTc3NWQ3Zjk5OTAxOTg3MmM1MQ==
Innovation Policy Adviser,Department of Health and Social Care,London and Leeds,"Salary : £32,188",Closes : 11:55 pm on Sunday 26th November 2023,Reference : 326608,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JmpvYmxpc3Rfdmlld192YWM9MTg4NzI0OSZvd25lcj01MDcwMDAwJnNlYXJjaHBhZ2U9MSZzZWFyY2hzb3J0PWNsb3NpbmcmcGFnZWNsYXNzPUpvYnMmdXNlcnNlYXJjaGNvbnRleHQ9NTk0MTUwMDImcmVxc2lnPTE3MDEwNDE4MDItZTJlMjI1NjJmMzI1MWFlMzM3ZTc5YTc3NWQ3Zjk5OTAxOTg3MmM1MQ==
Innovation Policy Manager,Department of Health and Social Care,London and Leeds,"Salary : £40,025",Closes : 11:55 pm on Sunday 26th November 2023,Reference : 326601,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=dXNlcnNlYXJjaGNvbnRleHQ9NTk0MTUwMDImc2VhcmNocGFnZT0xJm93bmVyPTUwNzAwMDAmcGFnZWNsYXNzPUpvYnMmc2VhcmNoc29ydD1jbG9zaW5nJmpvYmxpc3Rfdmlld192YWM9MTg4NzI0OCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDEwNDE4MDItZTJlMjI1NjJmMzI1MWFlMzM3ZTc5YTc3NWQ3Zjk5OTAxOTg3MmM1MQ==
