Title,Department,Location,Salary,Closing Date,UID,URL
Assistant People Business Partner,Independent Office for Police Conduct,Birmingham,"Salary : £32,600 to £32,600",Closes : 11:20 pm on Sunday 10th December 2023,Reference : 330362,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmam9ibGlzdF92aWV3X3ZhYz0xODkwMTc5JnVzZXJzZWFyY2hjb250ZXh0PTYxMDAyNzMwJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcj01MDcwMDAwJnNlYXJjaHNvcnQ9Y2xvc2luZyZvd25lcnR5cGU9ZmFpciZzZWFyY2hwYWdlPTEmcmVxc2lnPTE3MDIyNDYzNjYtNTRkNjBhOGFkOTAyOTQ3Nzc1NzcxZjQzNjQwODc1YTkxOTMzNGRkZA==
Administrative Support Officer,Regulator of Social Housing,"Birmingham, West Midlands (England), B2 4BH : Leeds, Yorkshire and the Humber, LS1 4AP : Manchester, North West England, M1 4BT","Salary : £24,377 to £26,945",Closes : 11:30 pm on Sunday 10th December 2023,Reference : 328361,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZzZWFyY2hzb3J0PWNsb3Npbmcmc2VhcmNocGFnZT0xJm93bmVydHlwZT1mYWlyJnBhZ2VjbGFzcz1Kb2JzJmpvYmxpc3Rfdmlld192YWM9MTg4ODQ2MyZ1c2Vyc2VhcmNoY29udGV4dD02MTAwMjczMCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcmVxc2lnPTE3MDIyNDYzNjYtNTRkNjBhOGFkOTAyOTQ3Nzc1NzcxZjQzNjQwODc1YTkxOTMzNGRkZA==
Training Support Officer (UKSV),Cabinet Office,"Glasgow, York","Salary : £24,750 to £24,750",Closes : 11:50 pm on Sunday 10th December 2023,Reference : 327982,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImc2VhcmNocGFnZT0xJm93bmVyPTUwNzAwMDAmc2VhcmNoc29ydD1jbG9zaW5nJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZ1c2Vyc2VhcmNoY29udGV4dD02MTAwMjczMCZqb2JsaXN0X3ZpZXdfdmFjPTE4ODg0MDkmcGFnZWNsYXNzPUpvYnMmcmVxc2lnPTE3MDIyNDYzNjYtNTRkNjBhOGFkOTAyOTQ3Nzc1NzcxZjQzNjQwODc1YTkxOTMzNGRkZA==
Investigator - Anti -Corruption Unit (ACU) ***Re-advertisement of 325663***,National Crime Agency,Crawley,"Salary : £34,672 to £36,037",Closes : 11:55 pm on Sunday 10th December 2023,Reference : 330418,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZzZWFyY2hzb3J0PWNsb3Npbmcmc2VhcmNocGFnZT0xJm93bmVydHlwZT1mYWlyJnVzZXJzZWFyY2hjb250ZXh0PTYxMDAyNzMwJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZwYWdlY2xhc3M9Sm9icyZqb2JsaXN0X3ZpZXdfdmFjPTE4OTAyMjAmcmVxc2lnPTE3MDIyNDYzNjYtNTRkNjBhOGFkOTAyOTQ3Nzc1NzcxZjQzNjQwODc1YTkxOTMzNGRkZA==
Service Manager – IT Asset Management and Technical Debt *Re-advertisement of 326318*,National Crime Agency,"*London, Leicester, Belfast, Bristol, Birmingham, Wakefield or Warrington. For London based roles your contractual place of work will be Endeavour Square, Stratford. However, as that site will not be operational ... see the job advert for full location information","Salary : £47,380",Closes : 11:55 pm on Sunday 10th December 2023,Reference : 330043,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=dXNlcnNlYXJjaGNvbnRleHQ9NjEwMDI3MzAmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnBhZ2VjbGFzcz1Kb2JzJmpvYmxpc3Rfdmlld192YWM9MTg4OTg2NiZvd25lcj01MDcwMDAwJnNlYXJjaHNvcnQ9Y2xvc2luZyZzZWFyY2hwYWdlPTEmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDIyNDYzNjYtNTRkNjBhOGFkOTAyOTQ3Nzc1NzcxZjQzNjQwODc1YTkxOTMzNGRkZA==
Senior Delivery Manager,Cabinet Office,London,"Salary : £58,800 to £70,192",Closes : 11:55 pm on Sunday 10th December 2023,Reference : 329948,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmam9ibGlzdF92aWV3X3ZhYz0xODg5ODQ2JnVzZXJzZWFyY2hjb250ZXh0PTYxMDAyNzMwJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZzZWFyY2hzb3J0PWNsb3Npbmcmb3duZXI9NTA3MDAwMCZzZWFyY2hwYWdlPTEmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDIyNDYzNjYtNTRkNjBhOGFkOTAyOTQ3Nzc1NzcxZjQzNjQwODc1YTkxOTMzNGRkZA==
Resourcing Advisor,FCDO Services,"Hanslope, South East England, MK19 7BH","Salary : £28,392",Closes : 11:55 pm on Sunday 10th December 2023,Reference : 329607,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnVzZXJzZWFyY2hjb250ZXh0PTYxMDAyNzMwJmpvYmxpc3Rfdmlld192YWM9MTg4OTU5MyZwYWdlY2xhc3M9Sm9icyZzZWFyY2hwYWdlPTEmb3duZXJ0eXBlPWZhaXImb3duZXI9NTA3MDAwMCZzZWFyY2hzb3J0PWNsb3NpbmcmcmVxc2lnPTE3MDIyNDYzNjYtNTRkNjBhOGFkOTAyOTQ3Nzc1NzcxZjQzNjQwODc1YTkxOTMzNGRkZA==
Resourcing Adviser,Children and Family Court Advisory and Support Service,"Coventry, West Midlands (England), CV4 7JJ","Salary : £26,844 to £28,969",Closes : 11:55 pm on Sunday 10th December 2023,Reference : 329601,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImc2VhcmNocGFnZT0xJnNlYXJjaHNvcnQ9Y2xvc2luZyZvd25lcj01MDcwMDAwJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZ1c2Vyc2VhcmNoY29udGV4dD02MTAwMjczMCZqb2JsaXN0X3ZpZXdfdmFjPTE4ODk1ODgmcGFnZWNsYXNzPUpvYnMmcmVxc2lnPTE3MDIyNDYzNjYtNTRkNjBhOGFkOTAyOTQ3Nzc1NzcxZjQzNjQwODc1YTkxOTMzNGRkZA==
AI Policy Team Leaders,"Department for Science, Innovation & Technology","Birmingham, Cardiff, Darlington, Edinburgh, London, Manchester","Salary : £50,305 to £61,145",Closes : 11:55 pm on Sunday 10th December 2023,Reference : 329453,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNoc29ydD1jbG9zaW5nJm93bmVyPTUwNzAwMDAmb3duZXJ0eXBlPWZhaXImc2VhcmNocGFnZT0xJnVzZXJzZWFyY2hjb250ZXh0PTYxMDAyNzMwJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZwYWdlY2xhc3M9Sm9icyZqb2JsaXN0X3ZpZXdfdmFjPTE4ODk1ODEmcmVxc2lnPTE3MDIyNDYzNjYtNTRkNjBhOGFkOTAyOTQ3Nzc1NzcxZjQzNjQwODc1YTkxOTMzNGRkZA==
Radio Frequency (RF) Health Standard Scientist ,UK Health Security Agency,"Didcot, Oxford","Salary : £32,469 to £39,532",Closes : 11:55 pm on Sunday 10th December 2023,Reference : 329498,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0xJm93bmVydHlwZT1mYWlyJnNlYXJjaHNvcnQ9Y2xvc2luZyZvd25lcj01MDcwMDAwJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZ1c2Vyc2VhcmNoY29udGV4dD02MTAwMjczMCZqb2JsaXN0X3ZpZXdfdmFjPTE4ODk0NjMmcGFnZWNsYXNzPUpvYnMmcmVxc2lnPTE3MDIyNDYzNjYtNTRkNjBhOGFkOTAyOTQ3Nzc1NzcxZjQzNjQwODc1YTkxOTMzNGRkZA==
Teacher Regulation Agency (TRA) Hearings Delivery Manager,Department for Education,"Cheylesmore House, Quinton Road, Coventry, CV1 2WT","Salary : £32,222",Closes : 11:55 pm on Sunday 10th December 2023,Reference : 327702,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODg5Mjk0JnBhZ2VjbGFzcz1Kb2JzJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZ1c2Vyc2VhcmNoY29udGV4dD02MTAwMjczMCZvd25lcnR5cGU9ZmFpciZzZWFyY2hwYWdlPTEmb3duZXI9NTA3MDAwMCZzZWFyY2hzb3J0PWNsb3NpbmcmcmVxc2lnPTE3MDIyNDYzNjYtNTRkNjBhOGFkOTAyOTQ3Nzc1NzcxZjQzNjQwODc1YTkxOTMzNGRkZA==
Project Officer,House of Commons,"City of Westminster, London (region), SW1A 0AA","Salary : £29,150 to £32,750",Closes : 11:55 pm on Sunday 10th December 2023,Reference : 329209,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnVzZXJzZWFyY2hjb250ZXh0PTYxMDAyNzMwJmpvYmxpc3Rfdmlld192YWM9MTg4OTI0NCZwYWdlY2xhc3M9Sm9icyZvd25lcnR5cGU9ZmFpciZzZWFyY2hwYWdlPTEmb3duZXI9NTA3MDAwMCZzZWFyY2hzb3J0PWNsb3NpbmcmcmVxc2lnPTE3MDIyNDYzNjYtNTRkNjBhOGFkOTAyOTQ3Nzc1NzcxZjQzNjQwODc1YTkxOTMzNGRkZA==
Sustainable Aviation Fuel Programme Advisor,Department for Transport,"Birmingham, Leeds, London","Salary : £32,603 to £39,371",Closes : 11:55 pm on Sunday 10th December 2023,Reference : 327837,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZzZWFyY2hzb3J0PWNsb3Npbmcmc2VhcmNocGFnZT0xJm93bmVydHlwZT1mYWlyJnBhZ2VjbGFzcz1Kb2JzJmpvYmxpc3Rfdmlld192YWM9MTg4OTExNCZ1c2Vyc2VhcmNoY29udGV4dD02MTAwMjczMCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcmVxc2lnPTE3MDIyNDYzNjYtNTRkNjBhOGFkOTAyOTQ3Nzc1NzcxZjQzNjQwODc1YTkxOTMzNGRkZA==
