Title,Department,Location,Salary,Closing Date,UID,URL
Business Analyst ,Department for Business and Trade,"Location: London, Cardiff, Darlington, Edinburgh, Belfast, Birmingham, Salford (may require occasional travel to other DBT offices)","Salary : £35,425 to £49,150",Closes : Midday on Monday 27th November 2023,Reference : 326330,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODg3MTc0JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcj01MDcwMDAwJnNlYXJjaHNvcnQ9Y2xvc2luZyZzZWFyY2hwYWdlPTEmb3duZXJ0eXBlPWZhaXImdXNlcnNlYXJjaGNvbnRleHQ9NTk0MTgxMTEmcGFnZWNsYXNzPUpvYnMmcmVxc2lnPTE3MDEwNDY3NDctZmU3ZmIxZWZkNTQ4NTBjOGU2ZjkzODc5NGQwNTQ2ODdhNzEyNjYzZg==
Senior Content Designer,Department for Business and Trade,"Belfast, Birmingham, Cardiff, Darlington, Edinburgh, London, Salford","Salary : £35,425 to £49,150",Closes : Midday on Monday 27th November 2023,Reference : 325967,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0xJm93bmVydHlwZT1mYWlyJnVzZXJzZWFyY2hjb250ZXh0PTU5NDE4MTExJnBhZ2VjbGFzcz1Kb2JzJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZqb2JsaXN0X3ZpZXdfdmFjPTE4ODY4ODUmc2VhcmNoc29ydD1jbG9zaW5nJm93bmVyPTUwNzAwMDAmcmVxc2lnPTE3MDEwNDY3NDctZmU3ZmIxZWZkNTQ4NTBjOGU2ZjkzODc5NGQwNTQ2ODdhNzEyNjYzZg==
Junior Content Designer  ,Department for Business and Trade,"Location: London, Cardiff, Darlington, Edinburgh, Belfast, Salford and Birmingham (may require occasional travel to other DBT offices)","Salary : £24,551 to £31,600",Closes : Midday on Monday 27th November 2023,Reference : 325497,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODg2ODgwJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZzZWFyY2hzb3J0PWNsb3Npbmcmb3duZXI9NTA3MDAwMCZvd25lcnR5cGU9ZmFpciZ1c2Vyc2VhcmNoY29udGV4dD01OTQxODExMSZzZWFyY2hwYWdlPTEmcGFnZWNsYXNzPUpvYnMmcmVxc2lnPTE3MDEwNDY3NDctZmU3ZmIxZWZkNTQ4NTBjOGU2ZjkzODc5NGQwNTQ2ODdhNzEyNjYzZg==
Hosting Engineer - ITS (Band 4/HEO),Health and Safety Executive,"Bootle, Buxton, Leeds, Sheffield, York","Salary : £32,802 to £36,625",Closes : Midday on Monday 27th November 2023,Reference : 323532,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmc2VhcmNocGFnZT0xJnVzZXJzZWFyY2hjb250ZXh0PTU5NDE4MTExJm93bmVydHlwZT1mYWlyJnNlYXJjaHNvcnQ9Y2xvc2luZyZvd25lcj01MDcwMDAwJmpvYmxpc3Rfdmlld192YWM9MTg4NjM3NyZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcmVxc2lnPTE3MDEwNDY3NDctZmU3ZmIxZWZkNTQ4NTBjOGU2ZjkzODc5NGQwNTQ2ODdhNzEyNjYzZg==
Microsoft Power-Platform Developer ,Department for Business and Trade,"Location: London, Cardiff, Darlington, Edinburgh, Belfast, Salford and Birmingham (may require occasional travel to other DBT offices)","Salary : £35,425 to £49,150",Closes : Midday on Monday 27th November 2023,Reference : 325236,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImdXNlcnNlYXJjaGNvbnRleHQ9NTk0MTgxMTEmc2VhcmNocGFnZT0xJnBhZ2VjbGFzcz1Kb2JzJmpvYmxpc3Rfdmlld192YWM9MTg4NjMzNiZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmb3duZXI9NTA3MDAwMCZzZWFyY2hzb3J0PWNsb3NpbmcmcmVxc2lnPTE3MDEwNDY3NDctZmU3ZmIxZWZkNTQ4NTBjOGU2ZjkzODc5NGQwNTQ2ODdhNzEyNjYzZg==
Senior Enforcement Lawyer (LSD Band 1 / Grade 6),Health and Safety Executive,"Ashford (Kent), Basingstoke, Bedford, Birmingham, Bootle, Bristol, Buxton, Cardiff, Carlisle, Carmarthen, Chelmsford, Cheltenham, Crewe, Leeds, Newcastle-upon-Tyne, Norwich, Nottingham, Oxted, Plymouth, ... see the job advert for full location information","Salary : £70,682 to £75,981",Closes : Midday on Monday 27th November 2023,Reference : 321680,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNoc29ydD1jbG9zaW5nJm93bmVyPTUwNzAwMDAmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JmpvYmxpc3Rfdmlld192YWM9MTg4NjEyMiZwYWdlY2xhc3M9Sm9icyZzZWFyY2hwYWdlPTEmdXNlcnNlYXJjaGNvbnRleHQ9NTk0MTgxMTEmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDEwNDY3NDctZmU3ZmIxZWZkNTQ4NTBjOGU2ZjkzODc5NGQwNTQ2ODdhNzEyNjYzZg==
Senior DevOps Engineer (ITS Band 3/SEO),Health and Safety Executive,"Aberdeen, Ashford (Kent), Basingstoke, Bedford, Birmingham, Bootle, Bristol, Buxton, Cardiff, Carlisle, Carmarthen, Chelmsford, Cheltenham, Crewe, Edinburgh, Glasgow, Inverness, Leeds, Newcastle-upon-Tyne, ... see the job advert for full location information","Salary : £40,778 to £46,783",Closes : Midday on Monday 27th November 2023,Reference : 310729,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODg2MDY5JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZzZWFyY2hzb3J0PWNsb3Npbmcmb3duZXI9NTA3MDAwMCZzZWFyY2hwYWdlPTEmdXNlcnNlYXJjaGNvbnRleHQ9NTk0MTgxMTEmb3duZXJ0eXBlPWZhaXImcGFnZWNsYXNzPUpvYnMmcmVxc2lnPTE3MDEwNDY3NDctZmU3ZmIxZWZkNTQ4NTBjOGU2ZjkzODc5NGQwNTQ2ODdhNzEyNjYzZg==
Senior Project Manager (OSD Band 2/Grade 7),Health and Safety Executive,"East Midlands (England), East of England, North East England, North West England, Scotland, South East England, South West England, Wales, West Midlands (England), Yorkshire and the Humber","Salary : £55,251 to £60,818",Closes : Midday on Monday 27th November 2023,Reference : 324317,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODg1ODY0JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcj01MDcwMDAwJnNlYXJjaHNvcnQ9Y2xvc2luZyZvd25lcnR5cGU9ZmFpciZ1c2Vyc2VhcmNoY29udGV4dD01OTQxODExMSZzZWFyY2hwYWdlPTEmcGFnZWNsYXNzPUpvYnMmcmVxc2lnPTE3MDEwNDY3NDctZmU3ZmIxZWZkNTQ4NTBjOGU2ZjkzODc5NGQwNTQ2ODdhNzEyNjYzZg==
Senior Administrative Manager (Band 4/HEO),Health and Safety Executive,"Bedford, Chelmsford","Salary : £32,802 to £36,625",Closes : Midday on Monday 27th November 2023,Reference : 324216,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODg1NTkyJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZzZWFyY2hzb3J0PWNsb3Npbmcmb3duZXI9NTA3MDAwMCZvd25lcnR5cGU9ZmFpciZ1c2Vyc2VhcmNoY29udGV4dD01OTQxODExMSZzZWFyY2hwYWdlPTEmcGFnZWNsYXNzPUpvYnMmcmVxc2lnPTE3MDEwNDY3NDctZmU3ZmIxZWZkNTQ4NTBjOGU2ZjkzODc5NGQwNTQ2ODdhNzEyNjYzZg==
Mechanical Engineer - Specialist Inspector of Health and Safety (CEMHD Band 3/SEO),Health and Safety Executive,"East Midlands (England), East of England, North East England, North West England, Scotland, South East England, South West England, Wales, West Midlands (England), Yorkshire and the Humber","Salary : £54,316 to £59,391",Closes : Midday on Monday 27th November 2023,Reference : 322326,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmc2VhcmNocGFnZT0xJnVzZXJzZWFyY2hjb250ZXh0PTU5NDE4MTExJm93bmVydHlwZT1mYWlyJm93bmVyPTUwNzAwMDAmc2VhcmNoc29ydD1jbG9zaW5nJmpvYmxpc3Rfdmlld192YWM9MTg4NDY1OSZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcmVxc2lnPTE3MDEwNDY3NDctZmU3ZmIxZWZkNTQ4NTBjOGU2ZjkzODc5NGQwNTQ2ODdhNzEyNjYzZg==
Research Scientist: Gas Specialist (SD Band 3/SEO) ***Deadline Extended***,Health and Safety Executive,"HSE, Harpur Hill, Buxton, Derbyshire, SK179JN","Salary : £40,788 to £46,783",Closes : Midday on Monday 27th November 2023,Reference : 310827,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0xJnVzZXJzZWFyY2hjb250ZXh0PTU5NDE4MTExJm93bmVydHlwZT1mYWlyJnBhZ2VjbGFzcz1Kb2JzJmpvYmxpc3Rfdmlld192YWM9MTg4MjkzMyZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmb3duZXI9NTA3MDAwMCZzZWFyY2hzb3J0PWNsb3NpbmcmcmVxc2lnPTE3MDEwNDY3NDctZmU3ZmIxZWZkNTQ4NTBjOGU2ZjkzODc5NGQwNTQ2ODdhNzEyNjYzZg==
Qualified Lawyers ,Government Legal Department,"Bristol, Leeds, London, Manchester","Salary : £47,541 to £58,000",Closes : Midday on Monday 27th November 2023,Reference : 317545,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0xJm93bmVydHlwZT1mYWlyJnVzZXJzZWFyY2hjb250ZXh0PTU5NDE4MTExJnBhZ2VjbGFzcz1Kb2JzJmpvYmxpc3Rfdmlld192YWM9MTg3OTU4OSZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmb3duZXI9NTA3MDAwMCZzZWFyY2hzb3J0PWNsb3NpbmcmcmVxc2lnPTE3MDEwNDY3NDctZmU3ZmIxZWZkNTQ4NTBjOGU2ZjkzODc5NGQwNTQ2ODdhNzEyNjYzZg==
DIO – Ministry of Defence Guard Service – Security Officer Shift Worker,Ministry of Defence,"Northwood, Sandy Lane, Northwood, HA6 3HP","Salary : £30,000",Closes : 11:10 pm on Monday 27th November 2023,Reference : 326216,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0xJnVzZXJzZWFyY2hjb250ZXh0PTU5NDE4MTExJm93bmVydHlwZT1mYWlyJnBhZ2VjbGFzcz1Kb2JzJmpvYmxpc3Rfdmlld192YWM9MTg4NjcyMSZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmb3duZXI9NTA3MDAwMCZzZWFyY2hzb3J0PWNsb3NpbmcmcmVxc2lnPTE3MDEwNDY3NDctZmU3ZmIxZWZkNTQ4NTBjOGU2ZjkzODc5NGQwNTQ2ODdhNzEyNjYzZg==
Technology Transfer Strategic Partner,"Department for Science, Innovation & Technology","Cardiff, London, Manchester","Salary : £50,305 to £61,145",Closes : 11:50 pm on Monday 27th November 2023,Reference : 324214,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmb3duZXJ0eXBlPWZhaXImdXNlcnNlYXJjaGNvbnRleHQ9NTk0MTgxMTEmc2VhcmNocGFnZT0xJnNlYXJjaHNvcnQ9Y2xvc2luZyZvd25lcj01MDcwMDAwJmpvYmxpc3Rfdmlld192YWM9MTg4NTE4MCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcmVxc2lnPTE3MDEwNDY3NDctZmU3ZmIxZWZkNTQ4NTBjOGU2ZjkzODc5NGQwNTQ2ODdhNzEyNjYzZg==
Multiple roles in the Osaka World Expo 2025 Content and Events Team,Department for Business and Trade,"Belfast, Birmingham, Cardiff, Darlington, Edinburgh, London, Salford","Salary : £39,384 to £46,715",Closes : 11:55 pm on Monday 27th November 2023,Reference : 328550,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNoc29ydD1jbG9zaW5nJm93bmVyPTUwNzAwMDAmam9ibGlzdF92aWV3X3ZhYz0xODg4NjY0JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZwYWdlY2xhc3M9Sm9icyZ1c2Vyc2VhcmNoY29udGV4dD01OTQxODExMSZvd25lcnR5cGU9ZmFpciZzZWFyY2hwYWdlPTEmcmVxc2lnPTE3MDEwNDY3NDctZmU3ZmIxZWZkNTQ4NTBjOGU2ZjkzODc5NGQwNTQ2ODdhNzEyNjYzZg==
