Title,Department,Location,Salary,Closing Date,UID,URL
Place and Connectivity Senior Policy Advisor,"Department for Culture, Media and Sport","London, Manchester","Salary : £31,884 to £39,587",Closes : 9:00 am on Monday 27th November 2023,Reference : 325487,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZzZWFyY2hzb3J0PWNsb3Npbmcmam9ibGlzdF92aWV3X3ZhYz0xODg2OTEyJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZwYWdlY2xhc3M9Sm9icyZvd25lcnR5cGU9ZmFpciZ1c2Vyc2VhcmNoY29udGV4dD01OTQxODExMSZzZWFyY2hwYWdlPTEmcmVxc2lnPTE3MDEwNDY3NDctZmU3ZmIxZWZkNTQ4NTBjOGU2ZjkzODc5NGQwNTQ2ODdhNzEyNjYzZg==
"Policy Advisors (x 2), Tourism Team","Department for Culture, Media and Sport","London, Manchester","Salary : £31,884 to £39,587",Closes : 9:00 am on Monday 27th November 2023,Reference : 325471,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODg2MzgyJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcj01MDcwMDAwJnNlYXJjaHNvcnQ9Y2xvc2luZyZzZWFyY2hwYWdlPTEmdXNlcnNlYXJjaGNvbnRleHQ9NTk0MTgxMTEmb3duZXJ0eXBlPWZhaXImcGFnZWNsYXNzPUpvYnMmcmVxc2lnPTE3MDEwNDY3NDctZmU3ZmIxZWZkNTQ4NTBjOGU2ZjkzODc5NGQwNTQ2ODdhNzEyNjYzZg==
"Chief Operations Officer, Dstl",Ministry of Defence,"Porton Down, Salisbury SP4 0JQ","Salary : £120,000",Closes : 9:00 am on Monday 27th November 2023,Reference : 323805,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmc2VhcmNocGFnZT0xJm93bmVydHlwZT1mYWlyJnVzZXJzZWFyY2hjb250ZXh0PTU5NDE4MTExJnNlYXJjaHNvcnQ9Y2xvc2luZyZvd25lcj01MDcwMDAwJmpvYmxpc3Rfdmlld192YWM9MTg4NDYyOCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcmVxc2lnPTE3MDEwNDY3NDctZmU3ZmIxZWZkNTQ4NTBjOGU2ZjkzODc5NGQwNTQ2ODdhNzEyNjYzZg==
Veterinary Adviser,Food Standards Agency,"We offer great flexible working opportunities, and have offices in Belfast, Cardiff or York. Please be aware that this role can only be worked within the UK and not overseas. Travel across the UK (and occasionally ... see the job advert for full location information","Salary : £54,404",Closes : 9:50 am on Monday 27th November 2023,Reference : 326024,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0xJnVzZXJzZWFyY2hjb250ZXh0PTU5NDE4MTExJm93bmVydHlwZT1mYWlyJnBhZ2VjbGFzcz1Kb2JzJmpvYmxpc3Rfdmlld192YWM9MTg4NjYyNyZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmb3duZXI9NTA3MDAwMCZzZWFyY2hzb3J0PWNsb3NpbmcmcmVxc2lnPTE3MDEwNDY3NDctZmU3ZmIxZWZkNTQ4NTBjOGU2ZjkzODc5NGQwNTQ2ODdhNzEyNjYzZg==
Customer Services Advisor - Annualised Hours (FTA) Portsmouth 335R,HM Revenue and Customs,Portsmouth,"Salary : £24,278",Closes : 11:30 am on Monday 27th November 2023,Reference : 321031,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODg2Mjc1JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcj01MDcwMDAwJnNlYXJjaHNvcnQ9Y2xvc2luZyZvd25lcnR5cGU9ZmFpciZ1c2Vyc2VhcmNoY29udGV4dD01OTQxODExMSZzZWFyY2hwYWdlPTEmcGFnZWNsYXNzPUpvYnMmcmVxc2lnPTE3MDEwNDY3NDctZmU3ZmIxZWZkNTQ4NTBjOGU2ZjkzODc5NGQwNTQ2ODdhNzEyNjYzZg==
Customer Services Advisor - Annualised Hours (FTA) East Kilbride 334R ,HM Revenue and Customs,East Kilbride,"Salary : £24,278",Closes : 11:30 am on Monday 27th November 2023,Reference : 320729,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNoc29ydD1jbG9zaW5nJm93bmVyPTUwNzAwMDAmam9ibGlzdF92aWV3X3ZhYz0xODg1Nzc4JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZwYWdlY2xhc3M9Sm9icyZzZWFyY2hwYWdlPTEmdXNlcnNlYXJjaGNvbnRleHQ9NTk0MTgxMTEmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDEwNDY3NDctZmU3ZmIxZWZkNTQ4NTBjOGU2ZjkzODc5NGQwNTQ2ODdhNzEyNjYzZg==
HEO Senior Paralegal x 5,Government Legal Department,"Leeds, London","Salary : £31,393",Closes : 11:55 am on Monday 27th November 2023,Reference : 325892,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JmpvYmxpc3Rfdmlld192YWM9MTg4Njc3MyZvd25lcj01MDcwMDAwJnNlYXJjaHNvcnQ9Y2xvc2luZyZzZWFyY2hwYWdlPTEmdXNlcnNlYXJjaGNvbnRleHQ9NTk0MTgxMTEmb3duZXJ0eXBlPWZhaXImcGFnZWNsYXNzPUpvYnMmcmVxc2lnPTE3MDEwNDY3NDctZmU3ZmIxZWZkNTQ4NTBjOGU2ZjkzODc5NGQwNTQ2ODdhNzEyNjYzZg==
HEO Senior Paralegal  (Enhanced Clearance) x 3,Government Legal Department,"Leeds, London","Salary : £31,393",Closes : 11:55 am on Monday 27th November 2023,Reference : 323132,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNoc29ydD1jbG9zaW5nJm93bmVyPTUwNzAwMDAmam9ibGlzdF92aWV3X3ZhYz0xODg2NzY4JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZwYWdlY2xhc3M9Sm9icyZzZWFyY2hwYWdlPTEmb3duZXJ0eXBlPWZhaXImdXNlcnNlYXJjaGNvbnRleHQ9NTk0MTgxMTEmcmVxc2lnPTE3MDEwNDY3NDctZmU3ZmIxZWZkNTQ4NTBjOGU2ZjkzODc5NGQwNTQ2ODdhNzEyNjYzZg==
SDA Communications Manager,Ministry of Defence,"MOD Abbey Wood, Filton, Bristol, Avon BS34 8JH","Salary : £42,600 to £45,800",Closes : 11:55 am on Monday 27th November 2023,Reference : 325950,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=dXNlcnNlYXJjaGNvbnRleHQ9NTk0MTgxMTEmb3duZXJ0eXBlPWZhaXImc2VhcmNocGFnZT0xJnBhZ2VjbGFzcz1Kb2JzJmpvYmxpc3Rfdmlld192YWM9MTg4NjQxNCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmc2VhcmNoc29ydD1jbG9zaW5nJm93bmVyPTUwNzAwMDAmcmVxc2lnPTE3MDEwNDY3NDctZmU3ZmIxZWZkNTQ4NTBjOGU2ZjkzODc5NGQwNTQ2ODdhNzEyNjYzZg==
Senior Content Designer - Content Operations,Department for Business and Trade,"Belfast, Birmingham, Cardiff, Darlington, Edinburgh, London, Salford","Salary : £35,425 to £49,150",Closes : Midday on Monday 27th November 2023,Reference : 325730,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZzZWFyY2hzb3J0PWNsb3NpbmcmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JmpvYmxpc3Rfdmlld192YWM9MTg4NzE4MiZwYWdlY2xhc3M9Sm9icyZzZWFyY2hwYWdlPTEmdXNlcnNlYXJjaGNvbnRleHQ9NTk0MTgxMTEmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDEwNDY3NDctZmU3ZmIxZWZkNTQ4NTBjOGU2ZjkzODc5NGQwNTQ2ODdhNzEyNjYzZg==
