Title,Department,Location,Salary,Closing Date,UID,URL
Contract Management Analyst (E1854N),Homes England,"Bristol, South West England, BS1 6EH : Longstanton, East of England, CB24 3EN : Coventry, West Midlands (England), CV1 2GN : Guildford, South East England, GU1 4LZ : Liverpool, North West England, L3 1BP ... see the job advert for full location information","Salary : £31,473 to £37,027",Closes : 11:55 pm on Friday 24th November 2023,Reference : 326083,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmb3duZXI9NTA3MDAwMCZ1c2Vyc2VhcmNoY29udGV4dD01OTI4NzcyOSZzZWFyY2hwYWdlPTEmc2VhcmNoc29ydD1jbG9zaW5nJm93bmVydHlwZT1mYWlyJmpvYmxpc3Rfdmlld192YWM9MTg4NjUyMiZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcmVxc2lnPTE3MDA4NjExMjAtYTFiYzdlNzY5YWRmN2UyZWU2MzczMWY2MGY1NTc3NTU2MTQ3NDU3NA==
Royal Navy - RNAS Merryfield Site Support Assistant,Ministry of Defence,RNAS Yeovilton,"Salary : £21,610",Closes : 11:55 pm on Friday 24th November 2023,Reference : 325527,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZwYWdlY2xhc3M9Sm9icyZzZWFyY2hzb3J0PWNsb3NpbmcmdXNlcnNlYXJjaGNvbnRleHQ9NTkyODc3Mjkmc2VhcmNocGFnZT0xJm93bmVydHlwZT1mYWlyJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZqb2JsaXN0X3ZpZXdfdmFjPTE4ODY1MTYmcmVxc2lnPTE3MDA4NjExMjAtYTFiYzdlNzY5YWRmN2UyZWU2MzczMWY2MGY1NTc3NTU2MTQ3NDU3NA==
Customer Solutions Lead (Newcastle),"Advisory, Conciliation and Arbitration Service",Newcastle Office with an element of working from home. Please be aware that this role can only be worked in Great ... see the job advert for full location information,"Salary : £43,019 to £46,166",Closes : 11:55 pm on Friday 24th November 2023,Reference : 325315,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODg2NDk1JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcnR5cGU9ZmFpciZzZWFyY2hzb3J0PWNsb3Npbmcmc2VhcmNocGFnZT0xJnVzZXJzZWFyY2hjb250ZXh0PTU5Mjg3NzI5Jm93bmVyPTUwNzAwMDAmcGFnZWNsYXNzPUpvYnMmcmVxc2lnPTE3MDA4NjExMjAtYTFiYzdlNzY5YWRmN2UyZWU2MzczMWY2MGY1NTc3NTU2MTQ3NDU3NA==
Resilience Policy and Operational Delivery lead ,Ministry of Defence,Westminster,"Salary : £57,670",Closes : 11:55 pm on Friday 24th November 2023,Reference : 323391,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmb3duZXI9NTA3MDAwMCZzZWFyY2hwYWdlPTEmdXNlcnNlYXJjaGNvbnRleHQ9NTkyODc3Mjkmc2VhcmNoc29ydD1jbG9zaW5nJm93bmVydHlwZT1mYWlyJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZqb2JsaXN0X3ZpZXdfdmFjPTE4ODY0ODYmcmVxc2lnPTE3MDA4NjExMjAtYTFiYzdlNzY5YWRmN2UyZWU2MzczMWY2MGY1NTc3NTU2MTQ3NDU3NA==
Business Support Manager,UK Health Security Agency,"Birmingham, West Midlands (England), B2 4BH : Bristol, South West England, BS1 6EH : Liverpool, North West England, L3 1DS : Leeds, Yorkshire and the Humber, LS16 6RW : Manchester, North West England, M13 ... see the job advert for full location information","Salary : £30,473 to £41,478",Closes : 11:55 pm on Friday 24th November 2023,Reference : 326036,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JmpvYmxpc3Rfdmlld192YWM9MTg4NjQ4NSZvd25lcnR5cGU9ZmFpciZzZWFyY2hzb3J0PWNsb3NpbmcmdXNlcnNlYXJjaGNvbnRleHQ9NTkyODc3Mjkmc2VhcmNocGFnZT0xJm93bmVyPTUwNzAwMDAmcGFnZWNsYXNzPUpvYnMmcmVxc2lnPTE3MDA4NjExMjAtYTFiYzdlNzY5YWRmN2UyZWU2MzczMWY2MGY1NTc3NTU2MTQ3NDU3NA==
DIO – Ministry of Defence Guard Service – Operational Manager Day Working,Ministry of Defence,"HMNB Devonport, Plymouth, Devon, PL2 2BG","Salary : £28,300",Closes : 11:55 pm on Friday 24th November 2023,Reference : 323796,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNoc29ydD1jbG9zaW5nJnVzZXJzZWFyY2hjb250ZXh0PTU5Mjg3NzI5JnNlYXJjaHBhZ2U9MSZvd25lcj01MDcwMDAwJnBhZ2VjbGFzcz1Kb2JzJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZqb2JsaXN0X3ZpZXdfdmFjPTE4ODY0NzAmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDA4NjExMjAtYTFiYzdlNzY5YWRmN2UyZWU2MzczMWY2MGY1NTc3NTU2MTQ3NDU3NA==
Estimates and In-Year Reporting Lead,Department for Business and Trade,"Birmingham, Cardiff, Darlington, Edinburgh, London, Salford","Salary : £53,560 to £63,481",Closes : 11:55 pm on Friday 24th November 2023,Reference : 324292,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JmpvYmxpc3Rfdmlld192YWM9MTg4NjQ2OSZvd25lcj01MDcwMDAwJnBhZ2VjbGFzcz1Kb2JzJnNlYXJjaHNvcnQ9Y2xvc2luZyZzZWFyY2hwYWdlPTEmdXNlcnNlYXJjaGNvbnRleHQ9NTkyODc3MjkmcmVxc2lnPTE3MDA4NjExMjAtYTFiYzdlNzY5YWRmN2UyZWU2MzczMWY2MGY1NTc3NTU2MTQ3NDU3NA==
Medical Reserves Administrative Officer,Ministry of Defence,"RAF Wittering, Peterborough","Salary : £24,040",Closes : 11:55 pm on Friday 24th November 2023,Reference : 325937,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODg2NDY1JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcnR5cGU9ZmFpciZzZWFyY2hzb3J0PWNsb3NpbmcmdXNlcnNlYXJjaGNvbnRleHQ9NTkyODc3Mjkmc2VhcmNocGFnZT0xJm93bmVyPTUwNzAwMDAmcGFnZWNsYXNzPUpvYnMmcmVxc2lnPTE3MDA4NjExMjAtYTFiYzdlNzY5YWRmN2UyZWU2MzczMWY2MGY1NTc3NTU2MTQ3NDU3NA==
Head Office Security Risk and Assurance Lead,Ministry of Defence,Westminster,"Salary : £43,080",Closes : 11:55 pm on Friday 24th November 2023,Reference : 324756,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=dXNlcnNlYXJjaGNvbnRleHQ9NTkyODc3Mjkmc2VhcmNocGFnZT0xJnNlYXJjaHNvcnQ9Y2xvc2luZyZwYWdlY2xhc3M9Sm9icyZvd25lcj01MDcwMDAwJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZqb2JsaXN0X3ZpZXdfdmFjPTE4ODY0NDcmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDA4NjExMjAtYTFiYzdlNzY5YWRmN2UyZWU2MzczMWY2MGY1NTc3NTU2MTQ3NDU3NA==
DIO - Corporate Governance and Reporting Health and Safety Advisor,Ministry of Defence,"Andover, SP11 8HJ, Catterick DL9 3LR, Whittington WS14 9PY Rosyth KY11 2BL","Salary : £43,080",Closes : 11:55 pm on Friday 24th November 2023,Reference : 324642,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODg2NDI4JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcnR5cGU9ZmFpciZzZWFyY2hzb3J0PWNsb3Npbmcmc2VhcmNocGFnZT0xJnVzZXJzZWFyY2hjb250ZXh0PTU5Mjg3NzI5Jm93bmVyPTUwNzAwMDAmcGFnZWNsYXNzPUpvYnMmcmVxc2lnPTE3MDA4NjExMjAtYTFiYzdlNzY5YWRmN2UyZWU2MzczMWY2MGY1NTc3NTU2MTQ3NDU3NA==
"Higher Scientist-Viral Vaccines-£34,841 p.a. + benefits",Medicines and Healthcare Products Regulatory Agency,"South Mimms, Hertfordshire","Salary : £34,841",Closes : 11:55 pm on Friday 24th November 2023,Reference : 325951,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0xJnVzZXJzZWFyY2hjb250ZXh0PTU5Mjg3NzI5JnNlYXJjaHNvcnQ9Y2xvc2luZyZwYWdlY2xhc3M9Sm9icyZvd25lcj01MDcwMDAwJmpvYmxpc3Rfdmlld192YWM9MTg4NjQwOSZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDA4NjExMjAtYTFiYzdlNzY5YWRmN2UyZWU2MzczMWY2MGY1NTc3NTU2MTQ3NDU3NA==
Higher Infrastructure Officer - Technical (London),HM Revenue and Customs,"London, London (region), E20 1HZ","Salary : £39,893 to £42,898",Closes : 11:55 pm on Friday 24th November 2023,Reference : 324846,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNoc29ydD1jbG9zaW5nJnNlYXJjaHBhZ2U9MSZ1c2Vyc2VhcmNoY29udGV4dD01OTI4NzcyOSZvd25lcj01MDcwMDAwJnBhZ2VjbGFzcz1Kb2JzJmpvYmxpc3Rfdmlld192YWM9MTg4NjM5NiZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDA4NjExMjAtYTFiYzdlNzY5YWRmN2UyZWU2MzczMWY2MGY1NTc3NTU2MTQ3NDU3NA==
Support Services Administrator (Ref: 81385),HM Prison & Probation Service,"This position is based at HMYOI GUYS MARSH SHAFTSBURY, SP7 0AH","Salary : £21,355",Closes : 11:55 pm on Friday 24th November 2023,Reference : 325909,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNoc29ydD1jbG9zaW5nJnVzZXJzZWFyY2hjb250ZXh0PTU5Mjg3NzI5JnNlYXJjaHBhZ2U9MSZvd25lcj01MDcwMDAwJnBhZ2VjbGFzcz1Kb2JzJmpvYmxpc3Rfdmlld192YWM9MTg4NjM3OSZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDA4NjExMjAtYTFiYzdlNzY5YWRmN2UyZWU2MzczMWY2MGY1NTc3NTU2MTQ3NDU3NA==
BAS Safer Custody Analyst - HMP Wymott (Ref: 81394),HM Prison & Probation Service,"This position is based at HM Prison Wymott, PR26 8LW","Salary : £30,471",Closes : 11:55 pm on Friday 24th November 2023,Reference : 325898,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImam9ibGlzdF92aWV3X3ZhYz0xODg2MzU5JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZwYWdlY2xhc3M9Sm9icyZvd25lcj01MDcwMDAwJnVzZXJzZWFyY2hjb250ZXh0PTU5Mjg3NzI5JnNlYXJjaHBhZ2U9MSZzZWFyY2hzb3J0PWNsb3NpbmcmcmVxc2lnPTE3MDA4NjExMjAtYTFiYzdlNzY5YWRmN2UyZWU2MzczMWY2MGY1NTc3NTU2MTQ3NDU3NA==
Risk Management Officer,"Department for Levelling Up, Housing and Communities","Darlington, Wolverhampton","Salary : £32,178",Closes : 11:55 pm on Friday 24th November 2023,Reference : 325101,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0xJnVzZXJzZWFyY2hjb250ZXh0PTU5Mjg3NzI5JnNlYXJjaHNvcnQ9Y2xvc2luZyZwYWdlY2xhc3M9Sm9icyZvd25lcj01MDcwMDAwJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZqb2JsaXN0X3ZpZXdfdmFjPTE4ODYzMTcmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDA4NjExMjAtYTFiYzdlNzY5YWRmN2UyZWU2MzczMWY2MGY1NTc3NTU2MTQ3NDU3NA==
