Title,Department,Location,Salary,Closing Date,UID,URL
Workplace Transformation People Impacts Team - SEO,Department for Work and Pensions,"Birmingham, Blackpool, Leeds, London, Manchester, Newcastle-upon-Tyne, Sheffield","Salary : £40,201 to £47,986",Closes : 11:55 pm on Friday 24th November 2023,Reference : 326307,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNoc29ydD1jbG9zaW5nJnVzZXJzZWFyY2hjb250ZXh0PTU5Mjg3NzI5JnNlYXJjaHBhZ2U9MSZvd25lcj01MDcwMDAwJnBhZ2VjbGFzcz1Kb2JzJmpvYmxpc3Rfdmlld192YWM9MTg4NzI0MiZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDA4NjExMjAtYTFiYzdlNzY5YWRmN2UyZWU2MzczMWY2MGY1NTc3NTU2MTQ3NDU3NA==
Senior Exit Manager (Ref: 81320),Ministry of Justice,"East Midlands (England), East of England, London (region), North East England, North West England, Scotland, South East England, South West England, Wales, West Midlands (England), Yorkshire and the Humber","Salary : £54,358 to £66,670",Closes : 11:55 pm on Friday 24th November 2023,Reference : 326799,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmb3duZXI9NTA3MDAwMCZ1c2Vyc2VhcmNoY29udGV4dD01OTI4NzcyOSZzZWFyY2hwYWdlPTEmc2VhcmNoc29ydD1jbG9zaW5nJm93bmVydHlwZT1mYWlyJmpvYmxpc3Rfdmlld192YWM9MTg4NzIwNCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcmVxc2lnPTE3MDA4NjExMjAtYTFiYzdlNzY5YWRmN2UyZWU2MzczMWY2MGY1NTc3NTU2MTQ3NDU3NA==
Digital Workforce Officer(Ref:  81347),Ministry of Justice,"East Midlands (England), East of England, London (region), North East England, North West England, Scotland, South East England, South West England, Wales, West Midlands (England), Yorkshire and the Humber","Salary : £32,827 to £40,403",Closes : 11:55 pm on Friday 24th November 2023,Reference : 326275,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNoc29ydD1jbG9zaW5nJnNlYXJjaHBhZ2U9MSZ1c2Vyc2VhcmNoY29udGV4dD01OTI4NzcyOSZvd25lcj01MDcwMDAwJnBhZ2VjbGFzcz1Kb2JzJmpvYmxpc3Rfdmlld192YWM9MTg4Njc2NSZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDA4NjExMjAtYTFiYzdlNzY5YWRmN2UyZWU2MzczMWY2MGY1NTc3NTU2MTQ3NDU3NA==
Programme Officer - Rough Sleeping Drug and Alcohol Treatment Grant ,Department of Health and Social Care,"Leeds, London","Salary : £40,025",Closes : 11:55 pm on Friday 24th November 2023,Reference : 325838,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNoc29ydD1jbG9zaW5nJnVzZXJzZWFyY2hjb250ZXh0PTU5Mjg3NzI5JnNlYXJjaHBhZ2U9MSZvd25lcj01MDcwMDAwJnBhZ2VjbGFzcz1Kb2JzJmpvYmxpc3Rfdmlld192YWM9MTg4NjcyMiZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDA4NjExMjAtYTFiYzdlNzY5YWRmN2UyZWU2MzczMWY2MGY1NTc3NTU2MTQ3NDU3NA==
International Passenger Survey Interviewer - Port of Holyhead,Office for National Statistics,Holyhead,"Salary : £6,441",Closes : 11:55 pm on Friday 24th November 2023,Reference : 326201,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNoc29ydD1jbG9zaW5nJnNlYXJjaHBhZ2U9MSZ1c2Vyc2VhcmNoY29udGV4dD01OTI4NzcyOSZvd25lcj01MDcwMDAwJnBhZ2VjbGFzcz1Kb2JzJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZqb2JsaXN0X3ZpZXdfdmFjPTE4ODY3MDUmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDA4NjExMjAtYTFiYzdlNzY5YWRmN2UyZWU2MzczMWY2MGY1NTc3NTU2MTQ3NDU3NA==
Training Delivery Officer,"Advisory, Conciliation and Arbitration Service",Any Acas Office with an element of working from home. Please be aware that this role can only be worked in Great ... see the job advert for full location information,"Salary : £33,630 to £40,841",Closes : 11:55 pm on Friday 24th November 2023,Reference : 325696,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JmpvYmxpc3Rfdmlld192YWM9MTg4NjY2NiZvd25lcnR5cGU9ZmFpciZ1c2Vyc2VhcmNoY29udGV4dD01OTI4NzcyOSZzZWFyY2hwYWdlPTEmc2VhcmNoc29ydD1jbG9zaW5nJnBhZ2VjbGFzcz1Kb2JzJm93bmVyPTUwNzAwMDAmcmVxc2lnPTE3MDA4NjExMjAtYTFiYzdlNzY5YWRmN2UyZWU2MzczMWY2MGY1NTc3NTU2MTQ3NDU3NA==
Correspondence Managers,Department for Energy Security & Net Zero,"Cardiff, London","Salary : £25,310 to £31,825",Closes : 11:55 pm on Friday 24th November 2023,Reference : 325736,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0xJnVzZXJzZWFyY2hjb250ZXh0PTU5Mjg3NzI5JnNlYXJjaHNvcnQ9Y2xvc2luZyZwYWdlY2xhc3M9Sm9icyZvd25lcj01MDcwMDAwJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZqb2JsaXN0X3ZpZXdfdmFjPTE4ODY1NjMmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDA4NjExMjAtYTFiYzdlNzY5YWRmN2UyZWU2MzczMWY2MGY1NTc3NTU2MTQ3NDU3NA==
Skills and Capability Manager,Cabinet Office,"Glasgow, Manchester, Newcastle-upon-Tyne, York","Salary : £40,850 to £44,260",Closes : 11:55 pm on Friday 24th November 2023,Reference : 325628,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JmpvYmxpc3Rfdmlld192YWM9MTg4NjU0MyZwYWdlY2xhc3M9Sm9icyZvd25lcj01MDcwMDAwJnNlYXJjaHBhZ2U9MSZ1c2Vyc2VhcmNoY29udGV4dD01OTI4NzcyOSZzZWFyY2hzb3J0PWNsb3NpbmcmcmVxc2lnPTE3MDA4NjExMjAtYTFiYzdlNzY5YWRmN2UyZWU2MzczMWY2MGY1NTc3NTU2MTQ3NDU3NA==
Policy Advisor (EPD Band 4/HEO) Product Safety and Market Surveillance Unit,Health and Safety Executive,"East Midlands (England), East of England, North East England, North West England, Scotland, South East England, South West England, Wales, West Midlands (England), Yorkshire and the Humber","Salary : £32,802 to £36,625",Closes : 11:55 pm on Friday 24th November 2023,Reference : 323629,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JmpvYmxpc3Rfdmlld192YWM9MTg4NjUyNiZwYWdlY2xhc3M9Sm9icyZvd25lcj01MDcwMDAwJnVzZXJzZWFyY2hjb250ZXh0PTU5Mjg3NzI5JnNlYXJjaHBhZ2U9MSZzZWFyY2hzb3J0PWNsb3NpbmcmcmVxc2lnPTE3MDA4NjExMjAtYTFiYzdlNzY5YWRmN2UyZWU2MzczMWY2MGY1NTc3NTU2MTQ3NDU3NA==
Contracts Manager (E1781N),Homes England,"Bristol, South West England, BS1 6EH : Longstanton, East of England, CB24 3EN : Coventry, West Midlands (England), CV1 2GN : Guildford, South East England, GU1 4LZ : Liverpool, North West England, L3 1BP ... see the job advert for full location information","Salary : £46,614 to £54,840",Closes : 11:55 pm on Friday 24th November 2023,Reference : 326085,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JmpvYmxpc3Rfdmlld192YWM9MTg4NjUyNCZvd25lcnR5cGU9ZmFpciZ1c2Vyc2VhcmNoY29udGV4dD01OTI4NzcyOSZzZWFyY2hwYWdlPTEmc2VhcmNoc29ydD1jbG9zaW5nJnBhZ2VjbGFzcz1Kb2JzJm93bmVyPTUwNzAwMDAmcmVxc2lnPTE3MDA4NjExMjAtYTFiYzdlNzY5YWRmN2UyZWU2MzczMWY2MGY1NTc3NTU2MTQ3NDU3NA==
