Title,Department,Location,Salary,Closing Date,UID,URL
Lead Technical Architect for Service Transformation,Government Digital Service,"Bristol, Manchester","Salary : £66,212 to £87,098",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 326593,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZqb2JsaXN0X3ZpZXdfdmFjPTE4ODcwMDkmcGFnZWNsYXNzPUpvYnMmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnVzZXJzZWFyY2hjb250ZXh0PTU5NjczODU4JnNlYXJjaHNvcnQ9Y2xvc2luZyZzZWFyY2hwYWdlPTEmb3duZXJ0eXBlPWZhaXImcmVxc2lnPTE3MDExODcxMjktYjRkNWY2MTliNDE0ODJlNTcwYzQzMTk1ZTM5MjJlNWJjMzgxY2ViNQ==
Risk & Controls Assurance Manager (G1417N),Homes England,"Bristol, South West England, BS1 6EH : Longstanton, East of England, CB24 3EN : Coventry, West Midlands (England), CV1 2GN : Guildford, South East England, GU1 4LZ : Liverpool, North West England, L3 1BP ... see the job advert for full location information","Salary : £36,444 to £42,875",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 326575,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODg2OTk3JnBhZ2VjbGFzcz1Kb2JzJm93bmVyPTUwNzAwMDAmc2VhcmNocGFnZT0xJm93bmVydHlwZT1mYWlyJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZ1c2Vyc2VhcmNoY29udGV4dD01OTY3Mzg1OCZzZWFyY2hzb3J0PWNsb3NpbmcmcmVxc2lnPTE3MDExODcxMjktYjRkNWY2MTliNDE0ODJlNTcwYzQzMTk1ZTM5MjJlNWJjMzgxY2ViNQ==
"Head of Planning & Enabling (E0097N, E0099N and E0067N)",Homes England,"Coventry, West Midlands (England), CV1 2GN : Leeds, Yorkshire and the Humber, LS11 9AT : Newcastle upon Tyne, North East England, NE4 5BZ","Salary : £63,731 to £74,977",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 326568,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNoc29ydD1jbG9zaW5nJnVzZXJzZWFyY2hjb250ZXh0PTU5NjczODU4JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcnR5cGU9ZmFpciZzZWFyY2hwYWdlPTEmb3duZXI9NTA3MDAwMCZwYWdlY2xhc3M9Sm9icyZqb2JsaXN0X3ZpZXdfdmFjPTE4ODY5OTUmcmVxc2lnPTE3MDExODcxMjktYjRkNWY2MTliNDE0ODJlNTcwYzQzMTk1ZTM5MjJlNWJjMzgxY2ViNQ==
Portfolio Analyst (Ref: 81093),Ministry of Justice,"East Midlands (England), East of England, London (region), North East England, North West England, Scotland, South East England, South West England, Wales, West Midlands (England), Yorkshire and the Humber","Salary : £32,827 to £40,403",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 326556,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODg2OTkwJnBhZ2VjbGFzcz1Kb2JzJm93bmVyPTUwNzAwMDAmc2VhcmNocGFnZT0xJm93bmVydHlwZT1mYWlyJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZ1c2Vyc2VhcmNoY29udGV4dD01OTY3Mzg1OCZzZWFyY2hzb3J0PWNsb3NpbmcmcmVxc2lnPTE3MDExODcxMjktYjRkNWY2MTliNDE0ODJlNTcwYzQzMTk1ZTM5MjJlNWJjMzgxY2ViNQ==
Army - Media Officer London,Ministry of Defence,"Location: Horse Guards, Whitehall, London SW1A 2HB We are passionate about Smarter Working and believe that a combination of flexible hybrid working practices, digital technology and modern work spaces will ... see the job advert for full location information","Salary : £35,290",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 325202,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmam9ibGlzdF92aWV3X3ZhYz0xODg2OTg1Jm93bmVyPTUwNzAwMDAmc2VhcmNocGFnZT0xJm93bmVydHlwZT1mYWlyJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZzZWFyY2hzb3J0PWNsb3NpbmcmdXNlcnNlYXJjaGNvbnRleHQ9NTk2NzM4NTgmcmVxc2lnPTE3MDExODcxMjktYjRkNWY2MTliNDE0ODJlNTcwYzQzMTk1ZTM5MjJlNWJjMzgxY2ViNQ==
Assistant Management Accountant (Ref: 81472),Ministry of Justice,"East Midlands (England), East of England, London (region), North East England, North West England, Scotland, South East England, South West England, Wales, West Midlands (England), Yorkshire and the Humber","Salary : £27,223 to £32,760",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 326513,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImc2VhcmNocGFnZT0xJnVzZXJzZWFyY2hjb250ZXh0PTU5NjczODU4JnNlYXJjaHNvcnQ9Y2xvc2luZyZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmam9ibGlzdF92aWV3X3ZhYz0xODg2OTY4JnBhZ2VjbGFzcz1Kb2JzJm93bmVyPTUwNzAwMDAmcmVxc2lnPTE3MDExODcxMjktYjRkNWY2MTliNDE0ODJlNTcwYzQzMTk1ZTM5MjJlNWJjMzgxY2ViNQ==
HR Performance Manager - HMP Bristol (Ref: 81462),Ministry of Justice,"This position is based at HM Prison Bristol, BS7 8PS","Salary : £32,827 to £35,678",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 326508,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImc2VhcmNocGFnZT0xJnNlYXJjaHNvcnQ9Y2xvc2luZyZ1c2Vyc2VhcmNoY29udGV4dD01OTY3Mzg1OCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcGFnZWNsYXNzPUpvYnMmam9ibGlzdF92aWV3X3ZhYz0xODg2OTYwJm93bmVyPTUwNzAwMDAmcmVxc2lnPTE3MDExODcxMjktYjRkNWY2MTliNDE0ODJlNTcwYzQzMTk1ZTM5MjJlNWJjMzgxY2ViNQ==
Personal Assistant To Deputy Director & Business Support Officer,Department for Transport,"Birmingham, Leeds, London","Salary : £28,119",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 325755,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmam9ibGlzdF92aWV3X3ZhYz0xODg2OTU4Jm93bmVyPTUwNzAwMDAmb3duZXJ0eXBlPWZhaXImc2VhcmNocGFnZT0xJnNlYXJjaHNvcnQ9Y2xvc2luZyZ1c2Vyc2VhcmNoY29udGV4dD01OTY3Mzg1OCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcmVxc2lnPTE3MDExODcxMjktYjRkNWY2MTliNDE0ODJlNTcwYzQzMTk1ZTM5MjJlNWJjMzgxY2ViNQ==
Security Education and Awareness Lead ,Department for Work and Pensions,"Blackpool, Leeds, Newcastle-upon-Tyne, Sheffield","Salary : £52,412 to £63,517",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 324058,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZqb2JsaXN0X3ZpZXdfdmFjPTE4ODY5NTUmcGFnZWNsYXNzPUpvYnMmdXNlcnNlYXJjaGNvbnRleHQ9NTk2NzM4NTgmc2VhcmNoc29ydD1jbG9zaW5nJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcnR5cGU9ZmFpciZzZWFyY2hwYWdlPTEmcmVxc2lnPTE3MDExODcxMjktYjRkNWY2MTliNDE0ODJlNTcwYzQzMTk1ZTM5MjJlNWJjMzgxY2ViNQ==
HR Performance Manager - HMP Exeter (Ref:81475),Ministry of Justice,"This position is based at HMYOI EXETER, EX4 4EX","Salary : £32,827 to £35,678",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 326500,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODg2OTU0JnBhZ2VjbGFzcz1Kb2JzJm93bmVyPTUwNzAwMDAmc2VhcmNocGFnZT0xJm93bmVydHlwZT1mYWlyJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZ1c2Vyc2VhcmNoY29udGV4dD01OTY3Mzg1OCZzZWFyY2hzb3J0PWNsb3NpbmcmcmVxc2lnPTE3MDExODcxMjktYjRkNWY2MTliNDE0ODJlNTcwYzQzMTk1ZTM5MjJlNWJjMzgxY2ViNQ==
Hub Manager - HMP Portland (Ref:81471),HM Prison & Probation Service,"This position is based at HMYOI PORTLAND PORTLAND, DT5 1DL","Salary : £33,104",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 326484,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmam9ibGlzdF92aWV3X3ZhYz0xODg2OTQzJm93bmVyPTUwNzAwMDAmb3duZXJ0eXBlPWZhaXImc2VhcmNocGFnZT0xJnNlYXJjaHNvcnQ9Y2xvc2luZyZ1c2Vyc2VhcmNoY29udGV4dD01OTY3Mzg1OCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcmVxc2lnPTE3MDExODcxMjktYjRkNWY2MTliNDE0ODJlNTcwYzQzMTk1ZTM5MjJlNWJjMzgxY2ViNQ==
CMS - Arrears and Enforcement Senior Leaders,Department for Work and Pensions,"Birkenhead, Falkirk, Hastings, Leicester","Salary : £40,201 to £43,347",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 324997,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnVzZXJzZWFyY2hjb250ZXh0PTU5NjczODU4JnNlYXJjaHNvcnQ9Y2xvc2luZyZzZWFyY2hwYWdlPTEmb3duZXJ0eXBlPWZhaXImb3duZXI9NTA3MDAwMCZqb2JsaXN0X3ZpZXdfdmFjPTE4ODY5MTkmcGFnZWNsYXNzPUpvYnMmcmVxc2lnPTE3MDExODcxMjktYjRkNWY2MTliNDE0ODJlNTcwYzQzMTk1ZTM5MjJlNWJjMzgxY2ViNQ==
Mechanical Plant Engineer,UK Health Security Agency,"Porton Down, Salisbury, SP4 0JG","Salary : £38,724 to £44,393",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 326447,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0xJm93bmVydHlwZT1mYWlyJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZzZWFyY2hzb3J0PWNsb3NpbmcmdXNlcnNlYXJjaGNvbnRleHQ9NTk2NzM4NTgmcGFnZWNsYXNzPUpvYnMmam9ibGlzdF92aWV3X3ZhYz0xODg2OTE2Jm93bmVyPTUwNzAwMDAmcmVxc2lnPTE3MDExODcxMjktYjRkNWY2MTliNDE0ODJlNTcwYzQzMTk1ZTM5MjJlNWJjMzgxY2ViNQ==
Band 6 Rheumatology Pain Specialist Nurse,Ministry of Defence,"DMRC Stanford Hall, Stanford on Soar","Salary : £35,392 to £42,618",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 326441,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0xJm93bmVydHlwZT1mYWlyJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZ1c2Vyc2VhcmNoY29udGV4dD01OTY3Mzg1OCZzZWFyY2hzb3J0PWNsb3Npbmcmam9ibGlzdF92aWV3X3ZhYz0xODg2OTE0JnBhZ2VjbGFzcz1Kb2JzJm93bmVyPTUwNzAwMDAmcmVxc2lnPTE3MDExODcxMjktYjRkNWY2MTliNDE0ODJlNTcwYzQzMTk1ZTM5MjJlNWJjMzgxY2ViNQ==
Defence Business Services (DBS) – Solution Architect,Ministry of Defence,"Abbey Wood North, Stoke Gifford Bristol, South West, BS34 8QW","Salary : £43,080 to £54,480",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 325657,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JmpvYmxpc3Rfdmlld192YWM9MTg4NjkwNyZzZWFyY2hwYWdlPTImdXNlcnNlYXJjaGNvbnRleHQ9NTk2NzM4NTgmcGFnZWNsYXNzPUpvYnMmc2VhcmNoc29ydD1jbG9zaW5nJm93bmVydHlwZT1mYWlyJm93bmVyPTUwNzAwMDAmcmVxc2lnPTE3MDExODcxMzEtMjliYTUzYTRhMjA1NWY4N2FiYTdhMGRhMTAwNjlmMTVmOGJhOGYxMA==
Business Support Administration Officer,HM Revenue and Customs,"Portsmouth, South East England, PO6 3XA","Salary : £24,278 to £24,278",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 324546,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnVzZXJzZWFyY2hjb250ZXh0PTU5NjczODU4JnBhZ2VjbGFzcz1Kb2JzJm93bmVyPTUwNzAwMDAmb3duZXJ0eXBlPWZhaXImc2VhcmNoc29ydD1jbG9zaW5nJmpvYmxpc3Rfdmlld192YWM9MTg4Njg5NSZzZWFyY2hwYWdlPTImcmVxc2lnPTE3MDExODcxMzEtMjliYTUzYTRhMjA1NWY4N2FiYTdhMGRhMTAwNjlmMTVmOGJhOGYxMA==
Head of Data and Insight(Ref: 65),Independent Monitoring Authority,This position is based at National - Hybrid Working. Office location: Independent Monitoring Authority | 3rd Floor | Swansea Civic Centre | Oystermouth Road | Swansea | SA1 3SN,"Salary : £54,097 to £62,271",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 326400,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODg2ODkwJnNlYXJjaHBhZ2U9MiZ1c2Vyc2VhcmNoY29udGV4dD01OTY3Mzg1OCZwYWdlY2xhc3M9Sm9icyZvd25lcnR5cGU9ZmFpciZzZWFyY2hzb3J0PWNsb3Npbmcmb3duZXI9NTA3MDAwMCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcmVxc2lnPTE3MDExODcxMzEtMjliYTUzYTRhMjA1NWY4N2FiYTdhMGRhMTAwNjlmMTVmOGJhOGYxMA==
Senior Performance Analyst,UK Health Security Agency,Remote working (anywhere in the UK),"Salary : £38,724 to £48,068",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 326397,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnVzZXJzZWFyY2hjb250ZXh0PTU5NjczODU4JnBhZ2VjbGFzcz1Kb2JzJnNlYXJjaHNvcnQ9Y2xvc2luZyZvd25lcnR5cGU9ZmFpciZvd25lcj01MDcwMDAwJmpvYmxpc3Rfdmlld192YWM9MTg4Njg4NyZzZWFyY2hwYWdlPTImcmVxc2lnPTE3MDExODcxMzEtMjliYTUzYTRhMjA1NWY4N2FiYTdhMGRhMTAwNjlmMTVmOGJhOGYxMA==
Content Designer,UK Health Security Agency,London with Hybrid working,"Salary : £42,716 to £48,068",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 326376,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0Jm93bmVyPTUwNzAwMDAmb3duZXJ0eXBlPWZhaXImc2VhcmNoc29ydD1jbG9zaW5nJnVzZXJzZWFyY2hjb250ZXh0PTU5NjczODU4JnBhZ2VjbGFzcz1Kb2JzJnNlYXJjaHBhZ2U9MiZqb2JsaXN0X3ZpZXdfdmFjPTE4ODY4NzgmcmVxc2lnPTE3MDExODcxMzEtMjliYTUzYTRhMjA1NWY4N2FiYTdhMGRhMTAwNjlmMTVmOGJhOGYxMA==
Project Conservator - Digitisation,The National Archives,"London, London (region), TW9 4DU","Salary : £31,178",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 326374,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmdXNlcnNlYXJjaGNvbnRleHQ9NTk2NzM4NTgmb3duZXJ0eXBlPWZhaXImb3duZXI9NTA3MDAwMCZzZWFyY2hzb3J0PWNsb3Npbmcmam9ibGlzdF92aWV3X3ZhYz0xODg2ODczJnNlYXJjaHBhZ2U9MiZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcmVxc2lnPTE3MDExODcxMzEtMjliYTUzYTRhMjA1NWY4N2FiYTdhMGRhMTAwNjlmMTVmOGJhOGYxMA==
FE Finance Data Collection Lead (X 2) Academies / Finance Data Collection Lead (x2),Department for Education,"Coventry, West Midlands (England), CV1 2WT : Darlington, North East England, DL1 5QE : Manchester, North West England, M1 2WD : Sheffield, Yorkshire and the Humber, S1 2FJ","Salary : £45,764",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 320108,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0Jm93bmVyPTUwNzAwMDAmb3duZXJ0eXBlPWZhaXImc2VhcmNoc29ydD1jbG9zaW5nJnBhZ2VjbGFzcz1Kb2JzJnVzZXJzZWFyY2hjb250ZXh0PTU5NjczODU4JnNlYXJjaHBhZ2U9MiZqb2JsaXN0X3ZpZXdfdmFjPTE4ODY4NzEmcmVxc2lnPTE3MDExODcxMzEtMjliYTUzYTRhMjA1NWY4N2FiYTdhMGRhMTAwNjlmMTVmOGJhOGYxMA==
HMP Chelmsford - Business Administrator (Fixed Term - 12 Months) (Ref:81451),HM Prison & Probation Service,"This position is based at HM Prison Chelmsford, CM2 6LQ","Salary : £25,752 to £27,116",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 326372,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0Jm93bmVydHlwZT1mYWlyJnNlYXJjaHNvcnQ9Y2xvc2luZyZvd25lcj01MDcwMDAwJnVzZXJzZWFyY2hjb250ZXh0PTU5NjczODU4JnBhZ2VjbGFzcz1Kb2JzJnNlYXJjaHBhZ2U9MiZqb2JsaXN0X3ZpZXdfdmFjPTE4ODY4NjkmcmVxc2lnPTE3MDExODcxMzEtMjliYTUzYTRhMjA1NWY4N2FiYTdhMGRhMTAwNjlmMTVmOGJhOGYxMA==
Production Instructor (PI): Enterprises - HMP Berwyn (Ref:81431),HM Prison & Probation Service,"This position is based at HM Prison Berwyn, LL13 9QE","Salary : £25,752 to £27,116",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 326366,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0yJmpvYmxpc3Rfdmlld192YWM9MTg4Njg2OCZzZWFyY2hzb3J0PWNsb3Npbmcmb3duZXJ0eXBlPWZhaXImb3duZXI9NTA3MDAwMCZwYWdlY2xhc3M9Sm9icyZ1c2Vyc2VhcmNoY29udGV4dD01OTY3Mzg1OCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcmVxc2lnPTE3MDExODcxMzEtMjliYTUzYTRhMjA1NWY4N2FiYTdhMGRhMTAwNjlmMTVmOGJhOGYxMA==
