Title,Department,Location,Salary,Closing Date,UID,URL
ID 420 - Head of Escalation and Enforcement - Grade 6 ,Welsh Government,Wales,"Salary : £70,455 to £80,840",Closes : 4:00 pm on Tuesday 28th November 2023,Reference : 326413,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnNlYXJjaHNvcnQ9Y2xvc2luZyZ1c2Vyc2VhcmNoY29udGV4dD01OTY3Mzg1OCZzZWFyY2hwYWdlPTEmb3duZXJ0eXBlPWZhaXImb3duZXI9NTA3MDAwMCZwYWdlY2xhc3M9Sm9icyZqb2JsaXN0X3ZpZXdfdmFjPTE4ODY4OTcmcmVxc2lnPTE3MDExODcxMjktYjRkNWY2MTliNDE0ODJlNTcwYzQzMTk1ZTM5MjJlNWJjMzgxY2ViNQ==
Sustainability Manager,Department of Health and Social Care,Leeds and London,"Salary : £40,025 to £46,918",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 322436,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZqb2JsaXN0X3ZpZXdfdmFjPTE4ODc1ODUmcGFnZWNsYXNzPUpvYnMmdXNlcnNlYXJjaGNvbnRleHQ9NTk2NzM4NTgmc2VhcmNoc29ydD1jbG9zaW5nJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcnR5cGU9ZmFpciZzZWFyY2hwYWdlPTEmcmVxc2lnPTE3MDExODcxMjktYjRkNWY2MTliNDE0ODJlNTcwYzQzMTk1ZTM5MjJlNWJjMzgxY2ViNQ==
Service Transition Manager,Department for Education,"Coventry, West Midlands (England), CV1 2WT : Darlington, North East England, DL1 5QE : Manchester, North West England, M1 2WD : Nottingham, East Midlands (England), NG2 1AW : Sheffield, Yorkshire and the ... see the job advert for full location information","Salary : £39,483",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 325725,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0xJm93bmVydHlwZT1mYWlyJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZzZWFyY2hzb3J0PWNsb3NpbmcmdXNlcnNlYXJjaGNvbnRleHQ9NTk2NzM4NTgmcGFnZWNsYXNzPUpvYnMmam9ibGlzdF92aWV3X3ZhYz0xODg3NDA4Jm93bmVyPTUwNzAwMDAmcmVxc2lnPTE3MDExODcxMjktYjRkNWY2MTliNDE0ODJlNTcwYzQzMTk1ZTM5MjJlNWJjMzgxY2ViNQ==
Policy Advisor,Department for Transport,"Birmingham, Leeds, London","Salary : £32,603",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 325115,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZwYWdlY2xhc3M9Sm9icyZqb2JsaXN0X3ZpZXdfdmFjPTE4ODcyMzQmc2VhcmNoc29ydD1jbG9zaW5nJnVzZXJzZWFyY2hjb250ZXh0PTU5NjczODU4JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcnR5cGU9ZmFpciZzZWFyY2hwYWdlPTEmcmVxc2lnPTE3MDExODcxMjktYjRkNWY2MTliNDE0ODJlNTcwYzQzMTk1ZTM5MjJlNWJjMzgxY2ViNQ==
Policy Adviser - Justice Spending and Equalities,HM Treasury,This post will be based in Darlington (Feethams House).,"Salary : £31,710 to £37,800",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 325181,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0xJm93bmVydHlwZT1mYWlyJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZ1c2Vyc2VhcmNoY29udGV4dD01OTY3Mzg1OCZzZWFyY2hzb3J0PWNsb3Npbmcmam9ibGlzdF92aWV3X3ZhYz0xODg3MTEyJnBhZ2VjbGFzcz1Kb2JzJm93bmVyPTUwNzAwMDAmcmVxc2lnPTE3MDExODcxMjktYjRkNWY2MTliNDE0ODJlNTcwYzQzMTk1ZTM5MjJlNWJjMzgxY2ViNQ==
Debt Management Telephony Officer Coventry,Department for Work and Pensions,Coventry,"Salary : £24,273",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 324226,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=dXNlcnNlYXJjaGNvbnRleHQ9NTk2NzM4NTgmc2VhcmNoc29ydD1jbG9zaW5nJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcnR5cGU9ZmFpciZzZWFyY2hwYWdlPTEmb3duZXI9NTA3MDAwMCZqb2JsaXN0X3ZpZXdfdmFjPTE4ODcwODcmcGFnZWNsYXNzPUpvYnMmcmVxc2lnPTE3MDExODcxMjktYjRkNWY2MTliNDE0ODJlNTcwYzQzMTk1ZTM5MjJlNWJjMzgxY2ViNQ==
Finance Manager,Driver and Vehicle Licensing Agency,Swansea,"Salary : £32,603",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 323332,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=dXNlcnNlYXJjaGNvbnRleHQ9NTk2NzM4NTgmc2VhcmNoc29ydD1jbG9zaW5nJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcnR5cGU9ZmFpciZzZWFyY2hwYWdlPTEmb3duZXI9NTA3MDAwMCZqb2JsaXN0X3ZpZXdfdmFjPTE4ODcwODYmcGFnZWNsYXNzPUpvYnMmcmVxc2lnPTE3MDExODcxMjktYjRkNWY2MTliNDE0ODJlNTcwYzQzMTk1ZTM5MjJlNWJjMzgxY2ViNQ==
People Business Partner ,Independent Office for Police Conduct,London (Canary Wharf or Croydon),"Salary : £51,065 to £51,065",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 326624,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImc2VhcmNocGFnZT0xJnNlYXJjaHNvcnQ9Y2xvc2luZyZ1c2Vyc2VhcmNoY29udGV4dD01OTY3Mzg1OCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcGFnZWNsYXNzPUpvYnMmam9ibGlzdF92aWV3X3ZhYz0xODg3MDMyJm93bmVyPTUwNzAwMDAmcmVxc2lnPTE3MDExODcxMjktYjRkNWY2MTliNDE0ODJlNTcwYzQzMTk1ZTM5MjJlNWJjMzgxY2ViNQ==
Receptionist (Ref: 81408),HM Prison & Probation Service,"This position is based at NPS 160 Albert Road Middlesbrough, TS1 2PZ","Salary : £20,126 to £23,182",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 326612,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODg3MDIyJnBhZ2VjbGFzcz1Kb2JzJm93bmVyPTUwNzAwMDAmc2VhcmNocGFnZT0xJm93bmVydHlwZT1mYWlyJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZ1c2Vyc2VhcmNoY29udGV4dD01OTY3Mzg1OCZzZWFyY2hzb3J0PWNsb3NpbmcmcmVxc2lnPTE3MDExODcxMjktYjRkNWY2MTliNDE0ODJlNTcwYzQzMTk1ZTM5MjJlNWJjMzgxY2ViNQ==
Receptionist (Ref: 81407),HM Prison & Probation Service,"This position is based at NMS Howard Street, NE30 1NA","Salary : £20,126 to £23,182",Closes : 11:55 pm on Tuesday 28th November 2023,Reference : 326597,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmam9ibGlzdF92aWV3X3ZhYz0xODg3MDEwJm93bmVyPTUwNzAwMDAmb3duZXJ0eXBlPWZhaXImc2VhcmNocGFnZT0xJnNlYXJjaHNvcnQ9Y2xvc2luZyZ1c2Vyc2VhcmNoY29udGV4dD01OTY3Mzg1OCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcmVxc2lnPTE3MDExODcxMjktYjRkNWY2MTliNDE0ODJlNTcwYzQzMTk1ZTM5MjJlNWJjMzgxY2ViNQ==
